planning_run_id,breakdown_history_id,machine_id,machine_name,machine_type,period_start,period_end,breakdown_count,minor_stop_count,downtime_hours,repair_hours,failure_mode_id,root_cause_category,spare_part_sku_used,maintenance_deferred_flag,operations_since_last_maintenance,days_since_last_maintenance,breakdown_history_source,data_source_type,source_phase,advisory_only_flag
PHASE4-MPS-20260711131832,BDH-BRAKE-2026W03,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,BRAKE_ASSEMBLY_TOOLS,2026-03-16,2026-03-22,1,2,1.5,1.0,FM-BRAKE-SENSOR-001,SENSOR,SP-ELECTRICAL-SENSOR-001,True,560,39,SYNTHETIC_PLANNING_HISTORY,PLANNING_ASSUMPTION_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-FINAL-2026W01,M-FINAL-STAND-001,Final Assembly Stand,BIKE_ASSEMBLY_STAND,2026-03-02,2026-03-08,1,5,5.0,3.5,FM-FINAL-JIG-001,WEAR,SP-FINAL-ASM-JIG-001,True,760,48,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-FINAL-2026W02,M-FINAL-STAND-001,Final Assembly Stand,BIKE_ASSEMBLY_STAND,2026-03-09,2026-03-15,1,6,6.0,4.0,FM-FINAL-JIG-001,WEAR,SP-FINAL-ASM-JIG-001,True,850,55,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-FINAL-2026W03,M-FINAL-STAND-001,Final Assembly Stand,BIKE_ASSEMBLY_STAND,2026-03-16,2026-03-22,2,6,8.0,5.2,FM-FINAL-BEAR-001,WEAR,SP-BEARING-KIT-001,True,930,63,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-FINAL-2026W04,M-FINAL-STAND-001,Final Assembly Stand,BIKE_ASSEMBLY_STAND,2026-03-23,2026-03-29,2,7,9.0,5.8,FM-FINAL-JIG-001,WEAR,SP-FINAL-ASM-JIG-001,True,1010,70,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-QC-2026W01,M-QC-TOOLS-001,QC Inspection Tool Set,INSPECTION_TOOLS,2026-03-02,2026-03-08,0,2,1.0,0.8,FM-QC-CAL-001,CALIBRATION,SP-QC-CALIBRATION-KIT-001,False,0,35,SYNTHETIC_PLANNING_HISTORY,PLANNING_ASSUMPTION_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-QC-2026W02,M-QC-TOOLS-001,QC Inspection Tool Set,INSPECTION_TOOLS,2026-03-09,2026-03-15,1,2,2.5,1.8,FM-QC-SENSOR-001,SENSOR,SP-ELECTRICAL-SENSOR-001,True,0,46,SYNTHETIC_PLANNING_HISTORY,PLANNING_ASSUMPTION_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-QC-2026W03,M-QC-TOOLS-001,QC Inspection Tool Set,INSPECTION_TOOLS,2026-03-16,2026-03-22,1,3,3.0,2.0,FM-QC-CAL-001,CALIBRATION,SP-QC-CALIBRATION-KIT-001,True,0,52,SYNTHETIC_PLANNING_HISTORY,PLANNING_ASSUMPTION_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-PACK-2026W01,M-PACK-BENCH-001,Packaging Bench and Tool Set,PACKAGING_TOOLS,2026-03-02,2026-03-08,0,1,0.5,0.3,FM-PACK-TOOL-001,TOOLING,SP-PACK-BENCH-SPARE-001,False,220,25,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-PACK-2026W02,M-PACK-BENCH-001,Packaging Bench and Tool Set,PACKAGING_TOOLS,2026-03-09,2026-03-15,0,1,0.4,0.2,FM-PACK-TOOL-001,TOOLING,SP-PACK-BENCH-SPARE-001,False,300,32,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-PACK-2026W03,M-PACK-BENCH-001,Packaging Bench and Tool Set,PACKAGING_TOOLS,2026-03-16,2026-03-22,0,0,0.2,0.1,FM-PACK-TOOL-001,TOOLING,SP-PACK-BENCH-SPARE-001,False,380,39,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-PACK-2026W04,M-PACK-BENCH-001,Packaging Bench and Tool Set,PACKAGING_TOOLS,2026-03-23,2026-03-29,0,0,0.2,0.1,FM-PACK-TOOL-001,TOOLING,SP-PACK-BENCH-SPARE-001,False,460,46,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
