review_item_id,planning_run_id,candidate_id,schedule_candidate_window_id,machine_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
SCHED-REVIEW-001,PHASE4-MPS-20260711141513,MAINT-CAND-001,SCHED-WIN-001,M-FRAME-JIG-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-001 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-012,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-012,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-013,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-013,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-014,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-014,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-015,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-015,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-016,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-016,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-017,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-017,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-018,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-018,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-019,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-019,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-020,PHASE4-MPS-20260711141513,MAINT-CAND-002,SCHED-WIN-020,M-FRAME-JIG-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-002 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-021,PHASE4-MPS-20260711141513,MAINT-CAND-003,SCHED-WIN-021,M-WHEEL-TRUE-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-003 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-022,PHASE4-MPS-20260711141513,MAINT-CAND-003,SCHED-WIN-022,M-WHEEL-TRUE-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-003 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-023,PHASE4-MPS-20260711141513,MAINT-CAND-003,SCHED-WIN-023,M-WHEEL-TRUE-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-003 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-024,PHASE4-MPS-20260711141513,MAINT-CAND-003,SCHED-WIN-024,M-WHEEL-TRUE-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-003 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-025,PHASE4-MPS-20260711141513,MAINT-CAND-003,SCHED-WIN-025,M-WHEEL-TRUE-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-003 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-026,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-026,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-027,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-027,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-028,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-028,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-029,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-029,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-030,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-030,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-031,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-031,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-032,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-032,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-033,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-033,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-034,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-034,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-035,PHASE4-MPS-20260711141513,MAINT-CAND-004,SCHED-WIN-035,M-WHEEL-TRUE-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-004 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-036,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-036,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-037,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-037,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-038,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-038,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-039,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-039,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-040,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-040,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-041,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-041,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-042,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-042,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-043,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-043,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-044,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-044,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-045,PHASE4-MPS-20260711141513,MAINT-CAND-005,SCHED-WIN-045,M-BRAKE-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-005 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-046,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-046,M-FORK-BENCH-001,HIGH_PRIORITY_SCHEDULING_REVIEW,CRITICAL,MAINT-CAND-006 status=FEASIBLE_CANDIDATE; priority=CRITICAL,REVIEW_HIGH_PRIORITY_CANDIDATE,False,True
SCHED-REVIEW-047,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-047,M-FORK-BENCH-001,HIGH_PRIORITY_SCHEDULING_REVIEW,CRITICAL,MAINT-CAND-006 status=FEASIBLE_CANDIDATE; priority=CRITICAL,REVIEW_HIGH_PRIORITY_CANDIDATE,False,True
SCHED-REVIEW-048,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-048,M-FORK-BENCH-001,HIGH_PRIORITY_SCHEDULING_REVIEW,CRITICAL,MAINT-CAND-006 status=FEASIBLE_CANDIDATE; priority=CRITICAL,REVIEW_HIGH_PRIORITY_CANDIDATE,False,True
SCHED-REVIEW-049,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-049,M-FORK-BENCH-001,HIGH_PRIORITY_SCHEDULING_REVIEW,CRITICAL,MAINT-CAND-006 status=FEASIBLE_CANDIDATE; priority=CRITICAL,REVIEW_HIGH_PRIORITY_CANDIDATE,False,True
SCHED-REVIEW-050,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-050,M-FORK-BENCH-001,HIGH_PRIORITY_SCHEDULING_REVIEW,CRITICAL,MAINT-CAND-006 status=FEASIBLE_CANDIDATE; priority=CRITICAL,REVIEW_HIGH_PRIORITY_CANDIDATE,False,True
SCHED-REVIEW-051,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-051,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-006 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-052,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-052,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-006 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-053,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-053,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-006 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-054,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-054,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-006 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-055,PHASE4-MPS-20260711141513,MAINT-CAND-006,SCHED-WIN-055,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-006 status=BLOCKED_BY_CREW; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-056,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-056,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-057,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-057,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-058,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-058,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-059,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-059,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-060,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-060,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-061,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-061,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-062,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-062,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-063,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-063,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-064,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-064,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-065,PHASE4-MPS-20260711141513,MAINT-CAND-007,SCHED-WIN-065,M-FORK-BENCH-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-007 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-066,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-066,M-FINAL-STAND-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-008 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-067,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-067,M-FINAL-STAND-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-008 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-068,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-068,M-FINAL-STAND-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-008 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-069,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-069,M-FINAL-STAND-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-008 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-070,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-070,M-FINAL-STAND-001,PRODUCTION_IMPACT_BLOCKED_CANDIDATE,CRITICAL,MAINT-CAND-008 status=BLOCKED_BY_PRODUCTION_IMPACT; priority=CRITICAL,REVIEW_PRODUCTION_IMPACT_WINDOW,False,True
SCHED-REVIEW-071,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-071,M-FINAL-STAND-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-008 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-072,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-072,M-FINAL-STAND-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-008 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-073,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-073,M-FINAL-STAND-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-008 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-074,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-074,M-FINAL-STAND-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-008 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-075,PHASE4-MPS-20260711141513,MAINT-CAND-008,SCHED-WIN-075,M-FINAL-STAND-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-008 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-076,PHASE4-MPS-20260711141513,MAINT-CAND-009,SCHED-WIN-076,M-FINAL-STAND-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-009 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-077,PHASE4-MPS-20260711141513,MAINT-CAND-009,SCHED-WIN-077,M-FINAL-STAND-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-009 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-078,PHASE4-MPS-20260711141513,MAINT-CAND-009,SCHED-WIN-078,M-FINAL-STAND-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-009 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
SCHED-REVIEW-079,PHASE4-MPS-20260711141513,MAINT-CAND-009,SCHED-WIN-079,M-FINAL-STAND-001,CREW_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,MAINT-CAND-009 status=MULTI_BLOCKED; priority=CRITICAL,REVIEW_CREW_CAPACITY_AND_SKILL_COVERAGE,False,True
