planning_run_id,candidate_window_period,candidate_window_day,candidate_window_shift,required_crew_type,required_skill_id,available_crew_hours,candidate_required_hours,remaining_crew_hours,crew_window_utilization_pct,crew_window_status,double_booking_risk_flag,note_no_dispatch_created_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Friday,08:00-16:30,PRODUCTION,SKILL-LUBRICATION,120.0,3.0,117.0,2.5,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,07:30-16:00,MAINTENANCE,SKILL-BASIC-ADJUSTMENT,40.0,2.7,37.3,6.75,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,07:30-16:00,MAINTENANCE,SKILL-CLEANING,40.0,1.0,39.0,2.5,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,07:30-16:00,MAINTENANCE,SKILL-CORRECTIVE,40.0,0.0,40.0,0.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,07:30-16:00,MAINTENANCE,SKILL-ELEC-MAINT,40.0,18.5,21.5,46.25,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,07:30-16:00,MAINTENANCE,SKILL-HEAVY-OVERHAUL,40.0,4.0,36.0,10.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,07:30-16:00,MAINTENANCE,SKILL-LIGHT-MAINT,40.0,1.5,38.5,3.75,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,07:30-16:00,MAINTENANCE,SKILL-LUBRICATION,40.0,2.0,38.0,5.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,07:30-16:00,MAINTENANCE,SKILL-MECH-MAINT,40.0,54.0,-14.0,135.0,OVERLOADED,True,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,08:00-16:30,PRODUCTION,SKILL-BOLT-TIGHTENING,120.0,0.5,119.5,0.42,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,08:00-16:30,PRODUCTION,SKILL-CLEANING,120.0,1.5,118.5,1.25,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,08:00-16:30,PRODUCTION,SKILL-LUBRICATION,120.0,3.0,117.0,2.5,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,07:30-16:00,MAINTENANCE,SKILL-BASIC-ADJUSTMENT,40.0,2.7,37.3,6.75,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,07:30-16:00,MAINTENANCE,SKILL-CLEANING,40.0,1.0,39.0,2.5,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,07:30-16:00,MAINTENANCE,SKILL-CORRECTIVE,40.0,0.0,40.0,0.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,07:30-16:00,MAINTENANCE,SKILL-ELEC-MAINT,40.0,18.5,21.5,46.25,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,07:30-16:00,MAINTENANCE,SKILL-HEAVY-OVERHAUL,40.0,4.0,36.0,10.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,07:30-16:00,MAINTENANCE,SKILL-LIGHT-MAINT,40.0,1.5,38.5,3.75,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,07:30-16:00,MAINTENANCE,SKILL-LUBRICATION,40.0,2.0,38.0,5.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,07:30-16:00,MAINTENANCE,SKILL-MECH-MAINT,40.0,54.0,-14.0,135.0,OVERLOADED,True,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,08:00-16:30,PRODUCTION,SKILL-BOLT-TIGHTENING,120.0,0.5,119.5,0.42,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,08:00-16:30,PRODUCTION,SKILL-CLEANING,120.0,1.5,118.5,1.25,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,08:00-16:30,PRODUCTION,SKILL-LUBRICATION,120.0,3.0,117.0,2.5,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,07:30-16:00,MAINTENANCE,SKILL-BASIC-ADJUSTMENT,40.0,2.7,37.3,6.75,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,07:30-16:00,MAINTENANCE,SKILL-CLEANING,40.0,1.0,39.0,2.5,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,07:30-16:00,MAINTENANCE,SKILL-CORRECTIVE,40.0,0.0,40.0,0.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,07:30-16:00,MAINTENANCE,SKILL-ELEC-MAINT,40.0,18.5,21.5,46.25,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,07:30-16:00,MAINTENANCE,SKILL-HEAVY-OVERHAUL,40.0,4.0,36.0,10.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,07:30-16:00,MAINTENANCE,SKILL-LIGHT-MAINT,40.0,1.5,38.5,3.75,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,07:30-16:00,MAINTENANCE,SKILL-LUBRICATION,40.0,2.0,38.0,5.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,07:30-16:00,MAINTENANCE,SKILL-MECH-MAINT,40.0,54.0,-14.0,135.0,OVERLOADED,True,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,08:00-16:30,PRODUCTION,SKILL-BOLT-TIGHTENING,120.0,0.5,119.5,0.42,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,08:00-16:30,PRODUCTION,SKILL-CLEANING,120.0,1.5,118.5,1.25,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,08:00-16:30,PRODUCTION,SKILL-LUBRICATION,120.0,3.0,117.0,2.5,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,07:30-16:00,MAINTENANCE,SKILL-BASIC-ADJUSTMENT,40.0,2.7,37.3,6.75,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,07:30-16:00,MAINTENANCE,SKILL-CLEANING,40.0,1.0,39.0,2.5,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,07:30-16:00,MAINTENANCE,SKILL-CORRECTIVE,40.0,0.0,40.0,0.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,07:30-16:00,MAINTENANCE,SKILL-ELEC-MAINT,40.0,18.5,21.5,46.25,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,07:30-16:00,MAINTENANCE,SKILL-HEAVY-OVERHAUL,40.0,4.0,36.0,10.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,07:30-16:00,MAINTENANCE,SKILL-LIGHT-MAINT,40.0,1.5,38.5,3.75,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,07:30-16:00,MAINTENANCE,SKILL-LUBRICATION,40.0,2.0,38.0,5.0,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,07:30-16:00,MAINTENANCE,SKILL-MECH-MAINT,40.0,54.0,-14.0,135.0,OVERLOADED,True,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,08:00-16:30,PRODUCTION,SKILL-BOLT-TIGHTENING,120.0,0.5,119.5,0.42,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,08:00-16:30,PRODUCTION,SKILL-CLEANING,120.0,1.5,118.5,1.25,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260711131832,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,08:00-16:30,PRODUCTION,SKILL-LUBRICATION,120.0,3.0,117.0,2.5,AVAILABLE,False,True,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
