schema_version,run_id,planning_iteration,generated_at,source_phase,target_phase,data_as_of_date,sku_id,allocation_id,supplier_id,supplier_role,requested_usable_quantity_units,allocated_usable_quantity_units,unallocated_requirement_units,yield_adjusted_purchase_quantity,moq_adjusted_purchase_quantity,batch_rounded_purchase_quantity,final_supplier_purchase_quantity,normal_delivery_quantity,expedite_quantity,split_delivery_quantity,first_shipment_quantity,remaining_shipment_quantity,expected_first_arrival_date,expected_final_arrival_date,supplier_per_order_capacity_units,supplier_horizon_capacity_units,capacity_used_units,capacity_remaining_units,per_order_capacity_feasible_flag,horizon_capacity_feasible_flag,allocation_capacity_feasible_flag,unit_cost,landed_cost_per_unit,quality_adjusted_unit_cost,estimated_product_cost,estimated_fixed_order_cost,estimated_delivery_cost,estimated_expedite_cost,estimated_delay_cost,estimated_quality_cost,estimated_total_procurement_cost,supplier_reliability_score,supplier_risk_score,supplier_risk_class,return_eligible,expedite_used_flag,split_delivery_used_flag,allocation_feasible_flag,allocation_execution_allowed,human_review_required,allocation_warning_codes,allocation_reason,supplier_capacity_utilization_rate,supplier_capacity_utilization_status,capacity_utilization_availability,total_procurement_cost_kpi_numerator,total_procurement_cost_kpi_denominator_units,total_procurement_cost_per_usable_unit,total_procurement_cost_basis,total_procurement_cost_warning_codes
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-CHC-005,ALLOC-SKU-CHC-005-1-SUP-006,SUP-006,PRIMARY,296.0,296.0,0.0,318.62,318.62,319.0,319.0,296.0,0.0,0.0,296.0,0.0,2026-07-19,2026-07-19,728.57,728.57,296.0,432.57,True,True,True,6.81,7.6126,8.1944,2428.42,0.0,0.5232,0.0,0.0,185.59,2614.54,0.7295315359868859,0.2705,MEDIUM,False,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.4062753064221694,LOW,AVAILABLE,2614.54,296.0,8.832905405405405,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-BBQ-006,ALLOC-SKU-BBQ-006-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-UMR-007,ALLOC-SKU-UMR-007-1-SUP-004,SUP-004,PRIMARY,60.0,60.0,0.0,62.18,62.18,63.0,63.0,60.0,0.0,0.0,60.0,0.0,2026-07-23,2026-07-23,364.29,364.29,60.0,304.29,True,True,True,13.2,14.454,14.9782,910.6,0.0,0.66,0.0,0.0,33.02,944.29,0.9247519035616946,0.0752,LOW,True,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.16470394465947458,LOW,AVAILABLE,944.29,60.0,15.738166666666666,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-BAT-008,ALLOC-SKU-BAT-008-1-SUP-006,SUP-006,PRIMARY,400.0,400.0,0.0,430.57,430.57,431.0,431.0,400.0,0.0,0.0,400.0,0.0,2026-07-19,2026-07-19,1071.43,1071.43,400.0,671.43,True,True,True,9.79,10.9416,11.7778,4715.83,0.0,0.752,0.0,0.0,360.4,5076.98,0.7295315359868859,0.2705,MEDIUM,False,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.3733328355562192,LOW,AVAILABLE,5076.98,400.0,12.69245,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-FIL-009,ALLOC-SKU-FIL-009-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-GFT-010,ALLOC-SKU-GFT-010-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-BIKE-ROAD-001,ALLOC-SKU-BIKE-ROAD-001-1-REVIEW,NO_FEASIBLE_SUPPLIER,REVIEW_CANDIDATE,86.0,0.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,NO_FEASIBLE_SUPPLIER_CAPACITY,No executable supplier capacity could cover the requirement.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_FEASIBLE_SUPPLIER_CAPACITY
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-BIKE-MT-001,ALLOC-SKU-BIKE-MT-001-1-REVIEW,NO_FEASIBLE_SUPPLIER,REVIEW_CANDIDATE,70.0,0.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,NO_FEASIBLE_SUPPLIER_CAPACITY,No executable supplier capacity could cover the requirement.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_FEASIBLE_SUPPLIER_CAPACITY
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-FRAME-ROAD-001,ALLOC-SKU-COMP-FRAME-ROAD-001-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-FRAME-MT-001,ALLOC-SKU-COMP-FRAME-MT-001-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-WHEEL-ROAD-700C,ALLOC-SKU-COMP-WHEEL-ROAD-700C-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-WHEEL-MT-29,ALLOC-SKU-COMP-WHEEL-MT-29-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-TIRE-ROAD-700C,ALLOC-SKU-COMP-TIRE-ROAD-700C-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-TIRE-MT-29,ALLOC-SKU-COMP-TIRE-MT-29-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-BRAKE-FRONT-001,ALLOC-SKU-COMP-BRAKE-FRONT-001-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-BRAKE-REAR-001,ALLOC-SKU-COMP-BRAKE-REAR-001-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-PEDAL-SET-001,ALLOC-SKU-COMP-PEDAL-SET-001-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SKU-COMP-BOLT-KIT-001,ALLOC-SKU-COMP-BOLT-KIT-001-1-NO_ORDER,NO_SUPPLIER_REQUIRED,PRIMARY,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,NO_REPLENISHMENT_REQUIREMENT,Phase 3 net replenishment requirement is zero.,,UNAVAILABLE,UNAVAILABLE,,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NO_REPLENISHMENT_REQUIREMENT
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SP-LUBE-OIL-001,ALLOC-SP-LUBE-OIL-001-1-SUP-002,SUP-002,PRIMARY,30.0,30.0,0.0,30.3,30.3,31.0,31.0,30.0,0.0,0.0,30.0,0.0,2026-07-06,2026-07-06,342.86,342.86,30.0,312.86,True,True,True,18.5,19.3025,19.4975,598.38,0.0,0.9625,0.0,0.0,6.05,605.38,0.9338500986193293,0.0661,LOW,True,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.08749927083940967,LOW,AVAILABLE,605.38,30.0,20.179333333333332,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SP-BEARING-KIT-001,ALLOC-SP-BEARING-KIT-001-1-SUP-002,SUP-002,PRIMARY,8.0,8.0,0.0,8.12,8.12,9.0,9.0,8.0,0.0,0.0,8.0,0.0,2026-07-09,2026-07-09,77.14,77.14,8.0,69.14,True,True,True,95.0,97.064,98.5421,873.58,0.0,4.84,0.0,0.0,13.3,891.72,0.9338500986193293,0.0661,LOW,True,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.10370754472387866,LOW,AVAILABLE,891.72,8.0,111.465,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SP-FRAME-JIG-PAD-001,ALLOC-SP-FRAME-JIG-PAD-001-1-SUP-003,SUP-003,PRIMARY,14.0,14.0,0.0,14.29,14.29,15.0,15.0,14.0,0.0,0.0,14.0,0.0,2026-07-07,2026-07-07,85.71,85.71,14.0,71.71,True,True,True,42.0,41.379,42.2235,620.68,0.0,1.3650000000000002,0.0,0.0,12.67,634.72,0.9479291465378422,0.0521,LOW,True,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.16334150040835377,LOW,AVAILABLE,634.72,14.0,45.33714285714286,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SP-WHEEL-TRUING-SPARE-001,ALLOC-SP-WHEEL-TRUING-SPARE-001-1-SUP-003,SUP-003,PRIMARY,8.0,8.0,0.0,8.16,8.16,9.0,9.0,8.0,0.0,0.0,8.0,0.0,2026-07-07,2026-07-07,77.14,77.14,8.0,69.14,True,True,True,36.0,36.9228,37.6763,332.31,0.0,1.218,0.0,0.0,6.78,340.3,0.9479291465378422,0.0521,LOW,True,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.10370754472387866,LOW,AVAILABLE,340.3,8.0,42.5375,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SP-BRAKE-BENCH-TOOL-001,ALLOC-SP-BRAKE-BENCH-TOOL-001-1-SUP-002,SUP-002,PRIMARY,8.0,8.0,0.0,8.12,8.12,9.0,9.0,8.0,0.0,0.0,8.0,0.0,2026-07-08,2026-07-08,107.14,107.14,8.0,99.14,True,True,True,28.0,29.781,30.2345,268.03,0.0,1.485,0.0,0.0,4.08,273.6,0.9338500986193293,0.0661,LOW,True,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.07466865783087549,LOW,AVAILABLE,273.6,8.0,34.2,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SP-FORK-SUSP-SEAL-001,ALLOC-SP-FORK-SUSP-SEAL-001-1-SUP-004,SUP-004,PRIMARY,14.0,14.0,0.0,14.29,14.29,15.0,15.0,14.0,0.0,0.0,14.0,0.0,2026-07-10,2026-07-10,68.57,68.57,14.0,54.57,True,True,True,64.0,65.7,67.0408,985.5,0.0,3.0,0.0,0.0,20.11,1008.61,0.9247519035616946,0.0752,LOW,True,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.20417092022750477,LOW,AVAILABLE,1008.61,14.0,72.04357142857143,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
1.0,INTEGRATED-20260701125744,1,2026-07-01T12:58:35Z,PHASE_2,PHASE_3,2026-07-01,SP-FINAL-ASM-JIG-001,ALLOC-SP-FINAL-ASM-JIG-001-1-SUP-003,SUP-003,PRIMARY,8.0,8.0,0.0,8.16,8.16,9.0,9.0,8.0,0.0,0.0,8.0,0.0,2026-07-09,2026-07-09,64.29,64.29,8.0,56.29,True,True,True,72.0,72.148,73.6204,649.33,0.0,2.3800000000000003,0.0,0.0,13.25,664.96,0.9479291465378422,0.0521,LOW,True,False,False,True,False,False,NONE,Allocated from feasible supplier capacity.,0.12443614870119768,LOW,AVAILABLE,664.96,8.0,83.12,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
