review_item_id,planning_run_id,machine_id,machine_name,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
BDR-REV-0016,PHASE4-MPS-20260701125813,M-QC-TOOLS-001,QC Inspection Tool Set,CRITICAL_BREAKDOWN_RISK,CRITICAL,QC Inspection Tool Set has critical breakdown risk score 129.0.,REVIEW_DOWNTIME_RISK,False,True
BDR-REV-0017,PHASE4-MPS-20260701125813,M-QC-TOOLS-001,QC Inspection Tool Set,WORSENING_BREAKDOWN_TREND,HIGH,QC Inspection Tool Set breakdown trend is worsening.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0018,PHASE4-MPS-20260701125813,M-QC-TOOLS-001,QC Inspection Tool Set,OVERDUE_MAINTENANCE_BREAKDOWN_RISK,CRITICAL,QC Inspection Tool Set has overdue maintenance and high breakdown risk.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0019,PHASE4-MPS-20260701125813,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,SPARE_PART_EXPOSURE_REVIEW,HIGH,Breakdown exposure spare SP-ELECTRICAL-SENSOR-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
BDR-REV-0020,PHASE4-MPS-20260701125813,M-FORK-BENCH-001,Fork and Suspension Prep Bench,SPARE_PART_EXPOSURE_REVIEW,HIGH,Breakdown exposure spare SP-FORK-SUSP-SEAL-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
BDR-REV-0021,PHASE4-MPS-20260701125813,M-FINAL-STAND-001,Final Assembly Stand,SPARE_PART_EXPOSURE_REVIEW,MEDIUM,Breakdown exposure spare SP-FINAL-ASM-JIG-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
BDR-REV-0022,PHASE4-MPS-20260701125813,M-QC-TOOLS-001,QC Inspection Tool Set,SPARE_PART_EXPOSURE_REVIEW,HIGH,Breakdown exposure spare SP-QC-CALIBRATION-KIT-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
BDR-REV-0023,PHASE4-MPS-20260701125813,M-QC-TOOLS-001,QC Inspection Tool Set,SPARE_PART_EXPOSURE_REVIEW,HIGH,Breakdown exposure spare SP-ELECTRICAL-SENSOR-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
BDR-REV-0024,PHASE4-MPS-20260701125813,M-PACK-BENCH-001,Packaging Bench and Tool Set,SPARE_PART_EXPOSURE_REVIEW,HIGH,Breakdown exposure spare SP-ELECTRICAL-SENSOR-001 readiness is INVENTORY_REVIEW_REQUIRED.,REVIEW_SPARE_PART_AVAILABILITY,False,True
BDR-REV-0025,PHASE4-MPS-20260701125813,M-WHEEL-TRUE-001,Wheel Truing Stand,CREW_SKILL_EXPOSURE_REVIEW,HIGH,Breakdown skill SKILL-BASIC-ADJUSTMENT coverage is NO_ACTIVE_COVERAGE.,REVIEW_CREW_REPAIR_COVERAGE,False,True
BDR-REV-0026,PHASE4-MPS-20260701125813,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,CREW_SKILL_EXPOSURE_REVIEW,HIGH,Breakdown skill SKILL-BASIC-ADJUSTMENT coverage is NO_ACTIVE_COVERAGE.,REVIEW_CREW_REPAIR_COVERAGE,False,True
BDR-REV-0027,PHASE4-MPS-20260701125813,M-FORK-BENCH-001,Fork and Suspension Prep Bench,CREW_SKILL_EXPOSURE_REVIEW,HIGH,Breakdown skill SKILL-LUBRICATION coverage is NO_ACTIVE_COVERAGE.,REVIEW_CREW_REPAIR_COVERAGE,False,True
BDR-REV-0028,PHASE4-MPS-20260701125813,M-PACK-BENCH-001,Packaging Bench and Tool Set,CREW_SKILL_EXPOSURE_REVIEW,HIGH,Breakdown skill SKILL-CLEANING coverage is NO_ACTIVE_COVERAGE.,REVIEW_CREW_REPAIR_COVERAGE,False,True
