period_start,period_end,finished_sku,operation_id,workstation_id,units_processed,defect_count,rework_count,scrap_count,avg_processing_time_minutes,standard_processing_time_minutes,data_source_type,advisory_only_flag
2026-03-02,2026-03-08,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,36,3,2,1,43.0,42,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,38,4,3,1,44.6,42,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,40,5,4,1,47.0,42,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,42,7,5,2,49.5,42,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-MT-001,MT-OP-060,WS-QC,36,2,1,0,18.4,18,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-MT-001,MT-OP-060,WS-QC,38,2,1,0,18.2,18,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-MT-001,MT-OP-060,WS-QC,40,1,1,0,18.0,18,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-MT-001,MT-OP-060,WS-QC,42,1,0,0,17.8,18,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-MT-001,MT-OP-070,WS-PACK,36,1,0,0,14.0,14,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-MT-001,MT-OP-070,WS-PACK,38,1,0,0,14.1,14,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-MT-001,MT-OP-070,WS-PACK,40,1,0,0,14.1,14,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-MT-001,MT-OP-070,WS-PACK,42,1,0,0,14.2,14,SYNTHETIC_PLANNING_HISTORY,True
