movement_id,sku_id,batch_id,warehouse_id,location_id,movement_date,movement_type,quantity,source_location_id,destination_location_id,reason_code,related_po_id,related_order_id
MOV-00015,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-06-01,PUTAWAY,16,LOC-TC-002,LOC-TC-002,STANDARD_PUTAWAY,PO-1015,
MOV-00016,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-05-28,PICK,-20,LOC-TC-002,,CUSTOMER_PICK,,ORD-2016
MOV-00017,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-05-23,SHIP,-24,LOC-TC-002,,CUSTOMER_SHIPMENT,,ORD-2017
MOV-00018,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-05-17,DEMAND,-28,LOC-TC-002,,DEMAND_CONSUMPTION,,ORD-2018
MOV-00019,SKU-CHC-005,BATCH-005-01,WH-001,LOC-TC-003,2026-05-07,RECEIPT,12,,LOC-TC-003,PO_RECEIPT,PO-1019,
MOV-00020,SKU-CHC-005,BATCH-005-01,WH-001,LOC-TC-003,2026-04-19,PUTAWAY,16,LOC-TC-003,LOC-TC-003,STANDARD_PUTAWAY,PO-1020,
MOV-00021,SKU-BBQ-006,BATCH-006-01,WH-001,LOC-BK-001,2026-04-20,RECEIPT,12,,LOC-BK-001,PO_RECEIPT,PO-1021,
MOV-00022,SKU-BBQ-006,BATCH-006-01,WH-001,LOC-BK-001,2026-03-20,PUTAWAY,16,LOC-BK-001,LOC-BK-001,STANDARD_PUTAWAY,PO-1022,
MOV-00023,SKU-BBQ-006,BATCH-006-01,WH-001,LOC-BK-001,2026-02-19,PICK,-20,LOC-BK-001,,CUSTOMER_PICK,,ORD-2023
MOV-00024,SKU-UMR-007,BATCH-007-01,WH-001,LOC-SP-001,2026-05-17,RECEIPT,12,,LOC-SP-001,PO_RECEIPT,PO-1024,
MOV-00025,SKU-UMR-007,BATCH-007-01,WH-001,LOC-SP-001,2026-05-01,PUTAWAY,16,LOC-SP-001,LOC-SP-001,STANDARD_PUTAWAY,PO-1025,
MOV-00026,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-06-01,RECEIPT,12,,LOC-SC-001,PO_RECEIPT,PO-1026,
MOV-00027,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-05-30,PUTAWAY,16,LOC-SC-001,LOC-SC-001,STANDARD_PUTAWAY,PO-1027,
MOV-00028,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-05-24,PICK,-20,LOC-SC-001,,CUSTOMER_PICK,,ORD-2028
MOV-00029,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-05-16,SHIP,-24,LOC-SC-001,,CUSTOMER_SHIPMENT,,ORD-2029
MOV-00030,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-05-08,DEMAND,-28,LOC-SC-001,,DEMAND_CONSUMPTION,,ORD-2030
MOV-00031,SKU-FIL-009,BATCH-009-01,WH-001,LOC-EP-001,2026-03-21,RECEIPT,12,,LOC-EP-001,PO_RECEIPT,PO-1031,
MOV-00032,SKU-FIL-009,BATCH-009-01,WH-001,LOC-EP-001,2026-01-15,PUTAWAY,16,LOC-EP-001,LOC-EP-001,STANDARD_PUTAWAY,PO-1032,
MOV-00033,SKU-GFT-010,BATCH-010-01,WH-001,LOC-SC-002,2026-05-25,RECEIPT,12,,LOC-SC-002,PO_RECEIPT,PO-1033,
MOV-00034,SKU-GFT-010,BATCH-010-01,WH-001,LOC-SC-002,2026-05-15,PUTAWAY,16,LOC-SC-002,LOC-SC-002,STANDARD_PUTAWAY,PO-1034,
MOV-00035,SKU-GFT-010,BATCH-010-01,WH-001,LOC-SC-002,2026-05-03,PICK,-20,LOC-SC-002,,CUSTOMER_PICK,,ORD-2035
MOV-00036,SKU-GFT-010,BATCH-010-01,WH-001,LOC-SC-002,2026-04-10,SHIP,-24,LOC-SC-002,,CUSTOMER_SHIPMENT,,ORD-2036
MOV-00037,SKU-GFT-010,BATCH-010-02,WH-001,LOC-SC-002,2026-05-12,CUSTOMER_RETURN,9,LOC-SC-002,LOC-RT-001,CUSTOMER_RETURN,,
MOV-00038,SKU-CHC-005,BATCH-005-01,WH-001,LOC-TC-003,2026-05-11,SUPPLIER_RETURN,-6,LOC-TC-003,LOC-QA-001,SUPPLIER_RETURN,,
MOV-00039,SKU-SUP-004,BATCH-004-04,WH-001,LOC-TC-002,2026-05-10,SCRAP,-12,LOC-TC-002,LOC-QA-001,DAMAGED_STOCK,,
MOV-00040,SKU-SUN-003,BATCH-003-03,WH-001,LOC-TC-001,2026-05-29,EXPIRED,-5,LOC-TC-001,LOC-QA-001,EXPIRED_STOCK,,
