po_id,sku_id,supplier_id,order_date,ordered_quantity,promised_delivery_date,expected_unit_cost
PO-00024,SKU-GFT-010,SUP-001,2026-05-30,95,2026-06-15,12.78
PO-00025,SKU-COF-001,SUP-001,2026-06-02,240,2026-06-17,2.05
PO-00026,SKU-TEA-002,SUP-001,2026-06-03,95,2026-06-20,3.2
PO-00027,SKU-COF-001,SUP-002,2026-02-25,165,2026-03-07,3.75
PO-00028,SKU-TEA-002,SUP-002,2026-02-26,65,2026-03-11,5.84
PO-00029,SKU-SUN-003,SUP-002,2026-03-03,225,2026-03-16,8.02
PO-00030,SKU-CHC-005,SUP-002,2026-03-07,55,2026-03-20,12.68
PO-00031,SKU-UMR-007,SUP-002,2026-03-14,225,2026-03-24,15.8
PO-00032,SKU-FIL-009,SUP-002,2026-03-14,55,2026-03-28,20.74
PO-00033,SKU-COF-001,SUP-002,2026-03-23,165,2026-04-02,3.75
PO-00034,SKU-TEA-002,SUP-002,2026-03-24,65,2026-04-06,5.84
PO-00035,SKU-SUN-003,SUP-002,2026-03-28,225,2026-04-10,8.02
PO-00036,SKU-CHC-005,SUP-002,2026-04-02,55,2026-04-15,12.68
PO-00037,SKU-UMR-007,SUP-002,2026-04-09,225,2026-04-19,15.8
PO-00038,SKU-FIL-009,SUP-002,2026-04-09,55,2026-04-23,20.74
PO-00039,SKU-COF-001,SUP-002,2026-04-18,165,2026-04-28,3.75
PO-00040,SKU-TEA-002,SUP-002,2026-04-19,65,2026-05-02,5.84
PO-00041,SKU-SUN-003,SUP-002,2026-04-23,225,2026-05-06,8.02
PO-00042,SKU-CHC-005,SUP-002,2026-04-27,55,2026-05-10,12.68
PO-00043,SKU-UMR-007,SUP-002,2026-05-05,225,2026-05-15,15.8
PO-00044,SKU-FIL-009,SUP-002,2026-05-05,55,2026-05-19,20.74
PO-00045,SKU-COF-001,SUP-002,2026-05-23,55,2026-06-02,3.82
PO-00046,SKU-TEA-002,SUP-002,2026-05-23,195,2026-06-05,5.96
PO-00047,SKU-SUN-003,SUP-002,2026-05-25,75,2026-06-07,8.18
PO-00048,SKU-CHC-005,SUP-002,2026-05-28,165,2026-06-10,12.93
PO-00049,SKU-UMR-007,SUP-002,2026-06-02,75,2026-06-12,16.12
PO-00050,SKU-FIL-009,SUP-002,2026-06-01,165,2026-06-15,21.15
PO-00051,SKU-COF-001,SUP-002,2026-06-07,55,2026-06-17,3.82
PO-00052,SKU-TEA-002,SUP-002,2026-06-07,195,2026-06-20,5.96
PO-00053,SKU-COF-001,SUP-003,2026-03-03,40,2026-03-07,3.33
PO-00054,SKU-SUN-003,SUP-003,2026-03-04,150,2026-03-12,7.1
PO-00055,SKU-CHC-005,SUP-003,2026-03-11,40,2026-03-17,11.23
PO-00056,SKU-UMR-007,SUP-003,2026-03-17,150,2026-03-22,13.99
PO-00057,SKU-GFT-010,SUP-003,2026-03-22,45,2026-03-26,20.7
PO-00058,SKU-COF-001,SUP-003,2026-03-26,120,2026-03-31,3.33
PO-00059,SKU-SUN-003,SUP-003,2026-03-29,50,2026-04-05,7.1
PO-00060,SKU-CHC-005,SUP-003,2026-04-03,120,2026-04-10,11.23
PO-00061,SKU-UMR-007,SUP-003,2026-04-11,50,2026-04-15,13.99
PO-00062,SKU-GFT-010,SUP-003,2026-04-15,135,2026-04-20,20.7
PO-00063,SKU-COF-001,SUP-003,2026-04-21,40,2026-04-25,3.33
PO-00064,SKU-SUN-003,SUP-003,2026-04-22,150,2026-04-30,7.1
PO-00065,SKU-CHC-005,SUP-003,2026-04-28,40,2026-05-04,11.23
PO-00066,SKU-UMR-007,SUP-003,2026-05-04,150,2026-05-09,13.99
PO-00067,SKU-GFT-010,SUP-003,2026-05-10,45,2026-05-14,20.7
PO-00068,SKU-COF-001,SUP-003,2026-05-14,120,2026-05-19,3.33
PO-00069,SKU-COF-001,SUP-003,2026-05-27,40,2026-06-02,2.61
PO-00070,SKU-SUN-003,SUP-003,2026-05-27,150,2026-06-05,5.58
PO-00071,SKU-CHC-005,SUP-003,2026-05-31,40,2026-06-08,8.83
PO-00072,SKU-UMR-007,SUP-003,2026-06-05,150,2026-06-11,10.99
PO-00073,SKU-GFT-010,SUP-003,2026-06-08,45,2026-06-14,16.26
PO-00074,SKU-COF-001,SUP-003,2026-06-11,120,2026-06-17,2.61
PO-00075,SKU-SUN-003,SUP-003,2026-06-11,50,2026-06-20,5.58
PO-00076,SKU-SUN-003,SUP-004,2026-02-10,340,2026-03-07,6.7
PO-00077,SKU-SUP-004,SUP-004,2026-02-17,190,2026-03-12,8.61
PO-00078,SKU-BBQ-006,SUP-004,2026-02-20,300,2026-03-17,11.26
PO-00079,SKU-UMR-007,SUP-004,2026-02-27,170,2026-03-22,13.2
PO-00080,SKU-FIL-009,SUP-004,2026-03-01,260,2026-03-26,17.34
PO-00081,SKU-SUN-003,SUP-004,2026-03-05,170,2026-03-31,6.7
PO-00082,SKU-SUP-004,SUP-004,2026-03-14,380,2026-04-05,8.61
PO-00083,SKU-BBQ-006,SUP-004,2026-03-15,150,2026-04-10,11.26
PO-00084,SKU-UMR-007,SUP-004,2026-03-24,340,2026-04-15,13.2
PO-00085,SKU-FIL-009,SUP-004,2026-03-25,130,2026-04-20,17.34
PO-00086,SKU-SUN-003,SUP-004,2026-03-31,340,2026-04-25,6.7
PO-00087,SKU-SUP-004,SUP-004,2026-04-07,190,2026-04-30,8.61
PO-00088,SKU-BBQ-006,SUP-004,2026-04-09,300,2026-05-04,11.26
PO-00089,SKU-UMR-007,SUP-004,2026-04-16,170,2026-05-09,13.2
PO-00090,SKU-FIL-009,SUP-004,2026-04-19,260,2026-05-14,17.34
PO-00091,SKU-SUN-003,SUP-004,2026-04-23,170,2026-05-19,6.7
PO-00092,SKU-SUN-003,SUP-004,2026-05-08,340,2026-06-02,6.83
PO-00093,SKU-SUP-004,SUP-004,2026-05-13,190,2026-06-05,8.78
PO-00094,SKU-BBQ-006,SUP-004,2026-05-13,300,2026-06-07,11.49
PO-00095,SKU-UMR-007,SUP-004,2026-05-18,170,2026-06-10,13.46
PO-00096,SKU-FIL-009,SUP-004,2026-05-18,260,2026-06-12,17.69
PO-00097,SKU-SUN-003,SUP-004,2026-05-20,170,2026-06-15,6.83
PO-00098,SKU-SUP-004,SUP-004,2026-05-26,380,2026-06-17,8.78
PO-00099,SKU-BBQ-006,SUP-004,2026-05-25,150,2026-06-20,11.49
PO-00100,SKU-TEA-002,SUP-005,2026-02-21,260,2026-03-07,4.1
PO-00101,SKU-SUN-003,SUP-005,2026-02-22,140,2026-03-11,5.64
PO-00102,SKU-CHC-005,SUP-005,2026-03-02,220,2026-03-16,8.9
PO-00103,SKU-BBQ-006,SUP-005,2026-03-03,130,2026-03-20,9.46
PO-00104,SKU-BAT-008,SUP-005,2026-03-10,320,2026-03-24,12.8
PO-00105,SKU-FIL-009,SUP-005,2026-03-11,110,2026-03-28,14.56
PO-00106,SKU-TEA-002,SUP-005,2026-03-19,260,2026-04-02,4.1
PO-00107,SKU-SUN-003,SUP-005,2026-03-20,140,2026-04-06,5.64
PO-00108,SKU-CHC-005,SUP-005,2026-03-27,220,2026-04-10,8.9
PO-00109,SKU-BBQ-006,SUP-005,2026-03-29,130,2026-04-15,9.46
PO-00110,SKU-BAT-008,SUP-005,2026-04-05,320,2026-04-19,12.8
PO-00111,SKU-FIL-009,SUP-005,2026-04-06,110,2026-04-23,14.56
PO-00112,SKU-TEA-002,SUP-005,2026-04-14,260,2026-04-28,4.1
PO-00113,SKU-SUN-003,SUP-005,2026-04-15,140,2026-05-02,5.64
PO-00114,SKU-CHC-005,SUP-005,2026-04-22,220,2026-05-06,8.9
PO-00115,SKU-BBQ-006,SUP-005,2026-04-23,130,2026-05-10,9.46
PO-00116,SKU-BAT-008,SUP-005,2026-05-01,320,2026-05-15,12.8
PO-00117,SKU-FIL-009,SUP-005,2026-05-02,110,2026-05-19,14.56
PO-00118,SKU-TEA-002,SUP-005,2026-05-19,130,2026-06-02,5.21
PO-00119,SKU-SUN-003,SUP-005,2026-05-19,280,2026-06-05,7.16
PO-00120,SKU-CHC-005,SUP-005,2026-05-24,110,2026-06-07,11.31
PO-00121,SKU-BBQ-006,SUP-005,2026-05-24,260,2026-06-10,12.02
PO-00122,SKU-BAT-008,SUP-005,2026-05-29,160,2026-06-12,16.26
PO-00123,SKU-FIL-009,SUP-005,2026-05-29,220,2026-06-15,18.51
PO-00124,SKU-TEA-002,SUP-005,2026-06-03,130,2026-06-17,5.21
PO-00125,SKU-SUN-003,SUP-005,2026-06-03,280,2026-06-20,7.16
PO-00126,SKU-COF-001,SUP-006,2026-02-19,340,2026-03-07,1.94
PO-00127,SKU-SUP-004,SUP-006,2026-02-23,1000,2026-03-12,5.31
PO-00128,SKU-CHC-005,SUP-006,2026-02-27,340,2026-03-17,6.54
PO-00129,SKU-BBQ-006,SUP-006,2026-03-02,780,2026-03-22,6.95
PO-00130,SKU-BAT-008,SUP-006,2026-03-08,500,2026-03-26,9.4
PO-00131,SKU-FIL-009,SUP-006,2026-03-11,680,2026-03-31,10.7
PO-00132,SKU-GFT-010,SUP-006,2026-03-20,390,2026-04-05,12.05
PO-00133,SKU-COF-001,SUP-006,2026-03-24,680,2026-04-10,1.94
PO-00134,SKU-SUP-004,SUP-006,2026-03-30,500,2026-04-15,5.31
PO-00135,SKU-CHC-005,SUP-006,2026-04-01,680,2026-04-20,6.54
PO-00136,SKU-BBQ-006,SUP-006,2026-04-06,390,2026-04-25,6.95
PO-00137,SKU-BAT-008,SUP-006,2026-04-11,1000,2026-04-30,9.4
PO-00138,SKU-FIL-009,SUP-006,2026-04-15,340,2026-05-04,10.7
PO-00139,SKU-GFT-010,SUP-006,2026-04-22,780,2026-05-09,12.05
PO-00140,SKU-COF-001,SUP-006,2026-04-28,340,2026-05-14,1.94
PO-00141,SKU-SUP-004,SUP-006,2026-05-02,1000,2026-05-19,5.31
PO-00142,SKU-COF-001,SUP-006,2026-05-17,340,2026-06-02,2.46
PO-00143,SKU-SUP-004,SUP-006,2026-05-19,1000,2026-06-05,6.75
PO-00144,SKU-CHC-005,SUP-006,2026-05-21,340,2026-06-08,8.31
PO-00145,SKU-BBQ-006,SUP-006,2026-05-22,780,2026-06-11,8.83
PO-00146,SKU-BAT-008,SUP-006,2026-05-27,500,2026-06-14,11.94
PO-00147,SKU-FIL-009,SUP-006,2026-05-28,680,2026-06-17,13.6
PO-00148,SKU-GFT-010,SUP-006,2026-06-04,390,2026-06-20,15.31
PO-00149,SKU-TEA-002,SUP-007,2026-02-27,30,2026-03-07,5.31
PO-00150,SKU-SUP-004,SUP-007,2026-05-11,120,2026-05-19,9.38
PO-00151,SKU-TEA-002,SUP-007,2026-05-25,90,2026-06-02,5.31
