sku_id,supplier_id,unit_cost,moq,batch_size,lead_time_mean_days,lead_time_std_days,yield_rate,defect_rate,delay_probability,partial_delivery_rate,fixed_order_cost,delivery_cost,cost_per_late_day,partial_delivery_penalty,quality_rejection_cost_per_unit,supplier_priority,is_primary_supplier
SKU-UMR-007,SUP-007,14.38,35,25,7,2.4,0.945,0.055,0.17,0.06,35.0,113.3,24.0,96.9,6.3,4,False
SKU-BAT-008,SUP-001,10.61,120,90,16,6.5,0.854,0.146,0.475,0.292,66.3,188.1,56.65,270.4,9.67,1,True
SKU-BAT-008,SUP-005,13.33,80,60,14,8.1,0.904,0.096,0.405,0.232,71.4,156.75,46.35,228.8,8.6,2,False
SKU-BAT-008,SUP-006,9.79,250,200,18,4.5,0.929,0.071,0.285,0.112,183.6,73.15,28.84,145.6,6.45,3,False
SKU-BAT-008,SUP-007,16.59,40,30,8,2.6,0.939,0.061,0.185,0.072,35.7,114.95,24.72,98.8,6.45,4,False
SKU-FIL-009,SUP-002,20.74,55,40,13,1.4,0.973,0.027,0.045,0.049,98.8,130.0,18.0,68.9,4.0,1,True
SKU-FIL-009,SUP-004,17.34,65,45,25,2.0,0.953,0.047,0.07,0.064,88.4,75.0,20.0,84.8,5.0,2,False
SKU-FIL-009,SUP-005,15.17,55,40,16,7.8,0.898,0.102,0.36,0.244,72.8,150.0,45.0,233.2,8.0,3,False
SKU-FIL-009,SUP-006,11.15,170,135,19,4.2,0.923,0.077,0.24,0.124,187.2,70.0,28.0,148.4,6.0,4,False
SKU-GFT-010,SUP-001,13.6,95,70,15,6.5,0.86,0.14,0.445,0.28,65.0,182.7,56.65,280.8,9.22,1,True
SKU-GFT-010,SUP-003,18.48,45,30,4,1.4,0.88,0.12,0.135,0.08,55.0,91.35,30.9,129.6,14.35,2,False
SKU-GFT-010,SUP-006,12.55,195,155,16,4.5,0.935,0.065,0.255,0.1,180.0,71.05,28.84,151.2,6.15,3,False
SKU-GFT-010,SUP-007,21.27,30,20,7,2.6,0.945,0.055,0.155,0.06,35.0,111.65,24.72,102.6,6.15,4,False
