review_item_id,planning_run_id,period_start,period_end,workstation_id,workstation_name,operation_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
QAC-REV-0001,PHASE4-MPS-20260701125813,2026-06-29,2026-07-05,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,LARGE_OTHER_DEFECT_DISPOSITION,MEDIUM,defect_rate=0.0400; rework_hours=0.20; processing_trend=IMPROVING; adjusted_hours=19.29,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0012,PHASE4-MPS-20260701125813,2026-07-06,2026-07-12,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0013,PHASE4-MPS-20260701125813,2026-07-06,2026-07-12,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0014,PHASE4-MPS-20260701125813,2026-07-13,2026-07-19,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0015,PHASE4-MPS-20260701125813,2026-07-13,2026-07-19,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0016,PHASE4-MPS-20260701125813,2026-07-13,2026-07-19,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0017,PHASE4-MPS-20260701125813,2026-07-13,2026-07-19,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0018,PHASE4-MPS-20260701125813,2026-07-13,2026-07-19,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0019,PHASE4-MPS-20260701125813,2026-07-13,2026-07-19,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0020,PHASE4-MPS-20260701125813,2026-07-13,2026-07-19,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0021,PHASE4-MPS-20260701125813,2026-07-20,2026-07-26,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0022,PHASE4-MPS-20260701125813,2026-07-20,2026-07-26,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0023,PHASE4-MPS-20260701125813,2026-07-20,2026-07-26,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0024,PHASE4-MPS-20260701125813,2026-07-20,2026-07-26,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0025,PHASE4-MPS-20260701125813,2026-07-20,2026-07-26,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0026,PHASE4-MPS-20260701125813,2026-07-20,2026-07-26,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0027,PHASE4-MPS-20260701125813,2026-07-20,2026-07-26,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0028,PHASE4-MPS-20260701125813,2026-07-27,2026-08-02,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0029,PHASE4-MPS-20260701125813,2026-07-27,2026-08-02,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0030,PHASE4-MPS-20260701125813,2026-07-27,2026-08-02,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0031,PHASE4-MPS-20260701125813,2026-07-27,2026-08-02,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0032,PHASE4-MPS-20260701125813,2026-07-27,2026-08-02,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0033,PHASE4-MPS-20260701125813,2026-07-27,2026-08-02,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0034,PHASE4-MPS-20260701125813,2026-07-27,2026-08-02,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0035,PHASE4-MPS-20260701125813,2026-08-03,2026-08-09,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0036,PHASE4-MPS-20260701125813,2026-08-03,2026-08-09,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0037,PHASE4-MPS-20260701125813,2026-08-03,2026-08-09,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0038,PHASE4-MPS-20260701125813,2026-08-03,2026-08-09,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0039,PHASE4-MPS-20260701125813,2026-08-03,2026-08-09,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0040,PHASE4-MPS-20260701125813,2026-08-03,2026-08-09,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0041,PHASE4-MPS-20260701125813,2026-08-03,2026-08-09,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0042,PHASE4-MPS-20260701125813,2026-08-10,2026-08-16,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0043,PHASE4-MPS-20260701125813,2026-08-10,2026-08-16,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0044,PHASE4-MPS-20260701125813,2026-08-10,2026-08-16,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0045,PHASE4-MPS-20260701125813,2026-08-10,2026-08-16,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0046,PHASE4-MPS-20260701125813,2026-08-10,2026-08-16,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0047,PHASE4-MPS-20260701125813,2026-08-10,2026-08-16,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0048,PHASE4-MPS-20260701125813,2026-08-10,2026-08-16,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0049,PHASE4-MPS-20260701125813,2026-08-17,2026-08-23,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0050,PHASE4-MPS-20260701125813,2026-08-17,2026-08-23,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0051,PHASE4-MPS-20260701125813,2026-08-17,2026-08-23,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0052,PHASE4-MPS-20260701125813,2026-08-17,2026-08-23,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0053,PHASE4-MPS-20260701125813,2026-08-17,2026-08-23,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0054,PHASE4-MPS-20260701125813,2026-08-17,2026-08-23,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0055,PHASE4-MPS-20260701125813,2026-08-17,2026-08-23,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0056,PHASE4-MPS-20260701125813,2026-08-24,2026-08-30,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0057,PHASE4-MPS-20260701125813,2026-08-24,2026-08-30,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0058,PHASE4-MPS-20260701125813,2026-08-24,2026-08-30,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0059,PHASE4-MPS-20260701125813,2026-08-24,2026-08-30,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0060,PHASE4-MPS-20260701125813,2026-08-24,2026-08-30,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0061,PHASE4-MPS-20260701125813,2026-08-24,2026-08-30,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0062,PHASE4-MPS-20260701125813,2026-08-24,2026-08-30,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0063,PHASE4-MPS-20260701125813,2026-08-31,2026-09-06,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0064,PHASE4-MPS-20260701125813,2026-08-31,2026-09-06,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0065,PHASE4-MPS-20260701125813,2026-08-31,2026-09-06,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0066,PHASE4-MPS-20260701125813,2026-08-31,2026-09-06,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0067,PHASE4-MPS-20260701125813,2026-08-31,2026-09-06,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0068,PHASE4-MPS-20260701125813,2026-08-31,2026-09-06,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0069,PHASE4-MPS-20260701125813,2026-08-31,2026-09-06,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0070,PHASE4-MPS-20260701125813,2026-09-07,2026-09-13,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0071,PHASE4-MPS-20260701125813,2026-09-07,2026-09-13,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0072,PHASE4-MPS-20260701125813,2026-09-07,2026-09-13,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0073,PHASE4-MPS-20260701125813,2026-09-07,2026-09-13,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0074,PHASE4-MPS-20260701125813,2026-09-07,2026-09-13,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0075,PHASE4-MPS-20260701125813,2026-09-07,2026-09-13,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.71; processing_trend=STABLE; adjusted_hours=29.06,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0076,PHASE4-MPS-20260701125813,2026-09-07,2026-09-13,WS-PACK,Packaging Station,MT-OP-070,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0200; rework_hours=0.04; processing_trend=STABLE; adjusted_hours=21.95,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0077,PHASE4-MPS-20260701125813,2026-09-14,2026-09-20,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
