review_item_id,planning_run_id,alternative_id,schedule_candidate_id,finished_sku,operation_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
SALT-REV-0023,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,ROAD-OP-050,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0024,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,ROAD-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0025,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,MT-OP-010,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0026,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,MT-OP-020,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0027,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,MT-OP-050,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0028,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,MT-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0029,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,MT-OP-070,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0030,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,ROAD-OP-020,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0031,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,ROAD-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0032,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,ROAD-OP-040,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0033,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,ROAD-OP-050,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0034,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,ROAD-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0035,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,MT-OP-050,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0036,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,MT-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0037,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,MT-OP-070,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0038,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,ROAD-OP-010,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0039,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,ROAD-OP-020,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0040,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,ROAD-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0041,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,ROAD-OP-040,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0042,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,ROAD-OP-050,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0043,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,ROAD-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0044,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,MT-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0045,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,MT-OP-040,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0046,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,MT-OP-050,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0047,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,MT-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0048,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,MT-OP-070,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0049,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,ROAD-OP-020,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0050,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,ROAD-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0051,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,ROAD-OP-040,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0052,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,ROAD-OP-050,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0053,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,ROAD-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0054,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,MT-OP-020,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0055,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,MT-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0056,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,MT-OP-040,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0057,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,MT-OP-050,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0058,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,MT-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0059,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,MT-OP-070,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0060,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,ROAD-OP-010,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0061,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,ROAD-OP-020,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0062,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,ROAD-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0063,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,ROAD-OP-040,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0064,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,ROAD-OP-050,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0065,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,ROAD-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0066,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,MT-OP-020,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0067,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,MT-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0068,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,MT-OP-040,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0069,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,MT-OP-050,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0070,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,MT-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0071,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,MT-OP-070,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0072,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,ROAD-OP-010,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0073,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,ROAD-OP-020,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0074,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,ROAD-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0075,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,ROAD-OP-040,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0076,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,ROAD-OP-050,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0077,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,ROAD-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0078,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,MT-OP-020,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0079,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,MT-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0080,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,MT-OP-040,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0081,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,MT-OP-050,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0082,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,MT-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0083,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,MT-OP-070,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0084,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,ROAD-OP-010,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0085,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,ROAD-OP-020,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0086,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,ROAD-OP-030,REVIEW_REQUIRED,HIGH,OUTPUT_BUFFER_CAPACITY_BLOCK,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0087,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,ROAD-OP-040,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0088,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,ROAD-OP-050,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0089,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260921,SKU-BIKE-ROAD-001,ROAD-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0090,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,MT-OP-020,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0091,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,MT-OP-030,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0092,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,MT-OP-040,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0093,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,MT-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0094,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,MT-OP-070,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
