planning_run_id,queue_review_item_id,period_start,period_end,workstation_id,workstation_name,queue_issue_type,queue_issue_severity,estimated_queue_pressure_score,estimated_queue_pressure_level,estimated_wip_risk_level,queue_issue_description,suggested_review_action,auto_action_allowed,advisory_only_flag
PHASE4-MPS-20260630135450,QUEUE-REV-0011,2026-07-06,2026-07-12,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0012,2026-07-13,2026-07-19,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0013,2026-07-13,2026-07-19,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0014,2026-07-13,2026-07-19,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0015,2026-07-13,2026-07-19,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0016,2026-07-13,2026-07-19,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0017,2026-07-13,2026-07-19,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0018,2026-07-13,2026-07-19,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0019,2026-07-20,2026-07-26,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0020,2026-07-20,2026-07-26,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0021,2026-07-20,2026-07-26,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0022,2026-07-20,2026-07-26,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0023,2026-07-20,2026-07-26,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0024,2026-07-20,2026-07-26,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0025,2026-07-20,2026-07-26,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0026,2026-07-27,2026-08-02,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0027,2026-07-27,2026-08-02,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0028,2026-07-27,2026-08-02,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0029,2026-07-27,2026-08-02,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0030,2026-07-27,2026-08-02,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0031,2026-07-27,2026-08-02,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0032,2026-07-27,2026-08-02,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0033,2026-08-03,2026-08-09,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0034,2026-08-03,2026-08-09,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0035,2026-08-03,2026-08-09,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0036,2026-08-03,2026-08-09,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0037,2026-08-03,2026-08-09,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0038,2026-08-03,2026-08-09,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0039,2026-08-03,2026-08-09,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0040,2026-08-10,2026-08-16,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0041,2026-08-10,2026-08-16,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0042,2026-08-10,2026-08-16,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0043,2026-08-10,2026-08-16,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0044,2026-08-10,2026-08-16,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0045,2026-08-10,2026-08-16,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0046,2026-08-10,2026-08-16,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0047,2026-08-17,2026-08-23,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0048,2026-08-17,2026-08-23,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0049,2026-08-17,2026-08-23,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0050,2026-08-17,2026-08-23,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0051,2026-08-17,2026-08-23,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0052,2026-08-17,2026-08-23,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0053,2026-08-17,2026-08-23,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0054,2026-08-24,2026-08-30,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0055,2026-08-24,2026-08-30,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0056,2026-08-24,2026-08-30,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0057,2026-08-24,2026-08-30,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0058,2026-08-24,2026-08-30,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0059,2026-08-24,2026-08-30,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0060,2026-08-24,2026-08-30,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0061,2026-08-31,2026-09-06,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0062,2026-08-31,2026-09-06,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0063,2026-08-31,2026-09-06,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0064,2026-08-31,2026-09-06,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0065,2026-08-31,2026-09-06,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0066,2026-08-31,2026-09-06,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0067,2026-08-31,2026-09-06,WS-PACK,Packaging Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Packaging Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0068,2026-09-07,2026-09-13,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0069,2026-09-07,2026-09-13,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0070,2026-09-07,2026-09-13,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0071,2026-09-07,2026-09-13,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0072,2026-09-07,2026-09-13,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
