review_item_id,planning_run_id,schedule_candidate_id,finished_sku,operation_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
PSR-0011,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0012,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0013,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0014,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0015,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0016,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0017,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0018,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0019,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0020,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0021,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0022,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0023,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0024,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0025,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0026,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0027,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0028,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0029,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0030,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0031,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260803,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0032,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260803,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0033,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260803,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0034,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260803,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0035,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260803,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0036,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260803,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0037,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0038,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0039,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0040,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0041,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0042,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0043,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0044,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0045,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0046,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0047,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0048,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0049,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0050,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0051,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0052,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0053,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0054,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0055,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0056,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0057,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0058,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0059,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0060,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0061,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0062,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0063,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0064,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0065,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0066,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0067,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0068,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0069,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0070,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0071,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0072,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0073,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0074,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0075,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0076,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0077,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0078,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0079,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0080,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0081,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0082,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0083,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0084,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0085,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0086,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0087,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0088,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0089,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260706,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0090,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260706,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0091,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260706,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0092,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260706,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0093,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260706,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0094,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260706,SKU-BIKE-ROAD-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0095,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260713,SKU-BIKE-ROAD-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0096,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260713,SKU-BIKE-ROAD-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0097,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260713,SKU-BIKE-ROAD-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0098,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260713,SKU-BIKE-ROAD-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0099,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-ROAD-001-20260713,SKU-BIKE-ROAD-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
