planning_run_id,period_start,period_end,component_sku,component_name,gross_component_requirement_qty,component_on_hand_qty,component_available_qty,period_sequence,period_starting_component_inventory_qty,net_component_requirement_qty,projected_component_ending_inventory_qty,projected_component_shortage_qty,mrp_recommendation_status,mrp_review_required_flag,mrp_planning_basis,component_period_summary_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260711134649,2026-09-21,2026-09-27,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,13,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-28,2026-10-04,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,25.1983,500,460,14,0.0,25.1983,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-06-29,2026-07-05,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,95.981,160,148,1,148.0,0.0,52.019,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-06,2026-07-12,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,175.9839,160,148,2,52.019,123.9649,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-13,2026-07-19,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,3,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-20,2026-07-26,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,4,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-27,2026-08-02,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,5,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-03,2026-08-09,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,6,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-10,2026-08-16,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,7,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-17,2026-08-23,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,8,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-24,2026-08-30,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,9,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-31,2026-09-06,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,10,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-07,2026-09-13,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,11,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-14,2026-09-20,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,12,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-21,2026-09-27,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,176.3881,160,148,13,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-28,2026-10-04,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,25.1983,160,148,14,0.0,25.1983,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-06-29,2026-07-05,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,95.981,155,143,1,143.0,0.0,47.019,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-06,2026-07-12,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,175.9839,155,143,2,47.019,128.9649,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-13,2026-07-19,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,3,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-20,2026-07-26,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,4,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-27,2026-08-02,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,5,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-03,2026-08-09,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,6,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-10,2026-08-16,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,7,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-17,2026-08-23,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,8,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-24,2026-08-30,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,9,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-31,2026-09-06,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,10,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-07,2026-09-13,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,11,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-14,2026-09-20,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,12,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-21,2026-09-27,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,176.3881,155,143,13,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-28,2026-10-04,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,25.1983,155,143,14,0.0,25.1983,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-06-29,2026-07-05,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,41.9815,90,82,1,82.0,0.0,40.0185,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-06,2026-07-12,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,2,40.0185,36.9556,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-13,2026-07-19,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,3,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-20,2026-07-26,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,4,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-27,2026-08-02,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,5,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-03,2026-08-09,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,6,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-10,2026-08-16,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,7,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-17,2026-08-23,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,8,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-24,2026-08-30,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,9,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-31,2026-09-06,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,10,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-07,2026-09-13,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,11,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-14,2026-09-20,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,12,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-21,2026-09-27,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,13,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-28,2026-10-04,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,10.9963,90,82,14,0.0,10.9963,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-06-29,2026-07-05,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,53.9995,120,110,1,110.0,0.0,56.0005,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-06,2026-07-12,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.0098,120,110,2,56.0005,43.0093,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-13,2026-07-19,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,3,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-20,2026-07-26,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,4,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-27,2026-08-02,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,5,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-03,2026-08-09,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,6,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-10,2026-08-16,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,7,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-17,2026-08-23,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,8,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-24,2026-08-30,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,9,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-31,2026-09-06,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,10,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-07,2026-09-13,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,11,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-14,2026-09-20,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,12,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-21,2026-09-27,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,99.414,120,110,13,0.0,99.414,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-28,2026-10-04,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,14.202,120,110,14,0.0,14.202,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-06-29,2026-07-05,SKU-COMP-PEDAL-SET-001,Pedal Set,95.981,180,166,1,166.0,0.0,70.019,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-06,2026-07-12,SKU-COMP-PEDAL-SET-001,Pedal Set,175.9839,180,166,2,70.019,105.9649,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-13,2026-07-19,SKU-COMP-PEDAL-SET-001,Pedal Set,176.3881,180,166,3,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
