planning_run_id,period_start,period_end,finished_sku,finished_product_name,operation_id,operation_name,workstation_id,workstation_name,units_processed,defect_count,rework_count,scrap_count,avg_processing_time_minutes,standard_processing_time_minutes,defect_rate,rework_rate,scrap_rate,processing_time_variance_pct,data_source_type,advisory_only_flag
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,46,1,0,0,16.0,16,0.021739130434782608,0.0,0.0,0.0,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,48,1,0,0,15.9,16,0.020833333333333332,0.0,0.0,-0.006249999999999978,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,Final Assembly Station,42,3,2,1,35.0,34,0.07142857142857142,0.047619047619047616,0.023809523809523808,0.02941176470588225,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,Final Assembly Station,44,4,3,1,36.5,34,0.09090909090909091,0.06818181818181818,0.022727272727272728,0.07352941176470584,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,Final Assembly Station,46,5,4,1,38.2,34,0.10869565217391304,0.08695652173913043,0.021739130434782608,0.12352941176470589,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,Final Assembly Station,48,7,5,2,40.0,34,0.14583333333333334,0.10416666666666667,0.041666666666666664,0.17647058823529416,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-050,Final Quality Control,WS-QC,Final Quality Control Station,42,2,1,0,14.2,14,0.047619047619047616,0.023809523809523808,0.0,0.014285714285714235,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-050,Final Quality Control,WS-QC,Final Quality Control Station,44,2,1,0,14.1,14,0.045454545454545456,0.022727272727272728,0.0,0.0071428571428571175,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-050,Final Quality Control,WS-QC,Final Quality Control Station,46,2,1,0,14.0,14,0.043478260869565216,0.021739130434782608,0.0,0.0,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-050,Final Quality Control,WS-QC,Final Quality Control Station,48,1,1,0,13.9,14,0.020833333333333332,0.020833333333333332,0.0,-0.0071428571428571175,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-060,Packaging,WS-PACK,Packaging Station,42,1,0,0,12.1,12,0.023809523809523808,0.0,0.0,0.008333333333333304,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-060,Packaging,WS-PACK,Packaging Station,44,1,0,0,12.0,12,0.022727272727272728,0.0,0.0,0.0,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-060,Packaging,WS-PACK,Packaging Station,46,1,0,0,12.0,12,0.021739130434782608,0.0,0.0,0.0,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-060,Packaging,WS-PACK,Packaging Station,48,1,0,0,12.2,12,0.020833333333333332,0.0,0.0,0.016666666666666607,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,36,2,1,0,23.0,22,0.05555555555555555,0.027777777777777776,0.0,0.045454545454545414,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,38,2,1,0,22.6,22,0.05263157894736842,0.02631578947368421,0.0,0.027272727272727337,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,40,1,1,0,22.2,22,0.025,0.025,0.0,0.009090909090909038,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,42,1,0,0,21.9,22,0.023809523809523808,0.0,0.0,-0.00454545454545463,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,Fork and Suspension Prep Station,36,2,1,0,26.4,26,0.05555555555555555,0.027777777777777776,0.0,0.01538461538461533,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,Fork and Suspension Prep Station,38,2,1,0,26.8,26,0.05263157894736842,0.02631578947368421,0.0,0.030769230769230882,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,Fork and Suspension Prep Station,40,3,2,0,27.6,26,0.075,0.05,0.0,0.06153846153846154,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,Fork and Suspension Prep Station,42,4,3,1,28.5,26,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.09615384615384626,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,36,2,1,0,26.8,26,0.05555555555555555,0.027777777777777776,0.0,0.030769230769230882,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,38,2,2,0,27.2,26,0.05263157894736842,0.05263157894736842,0.0,0.04615384615384621,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,40,3,2,0,28.0,26,0.075,0.05,0.0,0.07692307692307687,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,42,4,3,1,29.2,26,0.09523809523809523,0.07142857142857142,0.023809523809523808,0.12307692307692308,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-MT-001,Mountain Bike,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,36,1,1,0,20.3,20,0.027777777777777776,0.027777777777777776,0.0,0.015000000000000124,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-MT-001,Mountain Bike,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,38,1,1,0,20.2,20,0.02631578947368421,0.02631578947368421,0.0,0.010000000000000009,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-MT-001,Mountain Bike,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,40,1,0,0,20.0,20,0.025,0.0,0.0,0.0,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-MT-001,Mountain Bike,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,42,1,0,0,19.9,20,0.023809523809523808,0.0,0.0,-0.0050000000000001155,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-MT-001,Mountain Bike,MT-OP-050,Final Assembly,WS-FINAL-ASM,Final Assembly Station,36,3,2,1,43.0,42,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.023809523809523725,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-MT-001,Mountain Bike,MT-OP-050,Final Assembly,WS-FINAL-ASM,Final Assembly Station,38,4,3,1,44.6,42,0.10526315789473684,0.07894736842105263,0.02631578947368421,0.06190476190476191,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-MT-001,Mountain Bike,MT-OP-050,Final Assembly,WS-FINAL-ASM,Final Assembly Station,40,5,4,1,47.0,42,0.125,0.1,0.025,0.11904761904761907,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-MT-001,Mountain Bike,MT-OP-050,Final Assembly,WS-FINAL-ASM,Final Assembly Station,42,7,5,2,49.5,42,0.16666666666666666,0.11904761904761904,0.047619047619047616,0.1785714285714286,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-MT-001,Mountain Bike,MT-OP-060,Final Quality Control,WS-QC,Final Quality Control Station,36,2,1,0,18.4,18,0.05555555555555555,0.027777777777777776,0.0,0.022222222222222143,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-MT-001,Mountain Bike,MT-OP-060,Final Quality Control,WS-QC,Final Quality Control Station,38,2,1,0,18.2,18,0.05263157894736842,0.02631578947368421,0.0,0.011111111111111072,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-MT-001,Mountain Bike,MT-OP-060,Final Quality Control,WS-QC,Final Quality Control Station,40,1,1,0,18.0,18,0.025,0.025,0.0,0.0,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-MT-001,Mountain Bike,MT-OP-060,Final Quality Control,WS-QC,Final Quality Control Station,42,1,0,0,17.8,18,0.023809523809523808,0.0,0.0,-0.011111111111111072,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-MT-001,Mountain Bike,MT-OP-070,Packaging,WS-PACK,Packaging Station,36,1,0,0,14.0,14,0.027777777777777776,0.0,0.0,0.0,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-MT-001,Mountain Bike,MT-OP-070,Packaging,WS-PACK,Packaging Station,38,1,0,0,14.1,14,0.02631578947368421,0.0,0.0,0.0071428571428571175,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-MT-001,Mountain Bike,MT-OP-070,Packaging,WS-PACK,Packaging Station,40,1,0,0,14.1,14,0.025,0.0,0.0,0.0071428571428571175,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-MT-001,Mountain Bike,MT-OP-070,Packaging,WS-PACK,Packaging Station,42,1,0,0,14.2,14,0.023809523809523808,0.0,0.0,0.014285714285714235,SYNTHETIC_PLANNING_HISTORY,True
