calendar_id,crew_id,weekday,shift_start,shift_end,planned_break_minutes,available_flag,calendar_type,notes
CAL-PROD-QC-FRI,CREW-PROD-QC,Friday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-PACK-MON,CREW-PROD-PACK,Monday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-PACK-TUE,CREW-PROD-PACK,Tuesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-PACK-WED,CREW-PROD-PACK,Wednesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-PACK-THU,CREW-PROD-PACK,Thursday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-PACK-FRI,CREW-PROD-PACK,Friday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-MAINT-MECH-MON,CREW-MAINT-MECH,Monday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-MECH-TUE,CREW-MAINT-MECH,Tuesday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-MECH-WED,CREW-MAINT-MECH,Wednesday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-MECH-THU,CREW-MAINT-MECH,Thursday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-MECH-FRI,CREW-MAINT-MECH,Friday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-ELEC-MON,CREW-MAINT-ELEC,Monday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-ELEC-TUE,CREW-MAINT-ELEC,Tuesday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-ELEC-WED,CREW-MAINT-ELEC,Wednesday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-ELEC-THU,CREW-MAINT-ELEC,Thursday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-ELEC-FRI,CREW-MAINT-ELEC,Friday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-GEN-MON,CREW-MAINT-GEN,Monday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-GEN-TUE,CREW-MAINT-GEN,Tuesday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-GEN-WED,CREW-MAINT-GEN,Wednesday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-GEN-THU,CREW-MAINT-GEN,Thursday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-MAINT-GEN-FRI,CREW-MAINT-GEN,Friday,07:30,16:00,30,True,MAINTENANCE_COVERAGE,Normal maintenance coverage.
CAL-WH-FUTURE-MON,CREW-WH-FUTURE,Monday,00:00,00:00,0,False,FUTURE_PLACEHOLDER,Inactive future placeholder.
CAL-DEL-FUTURE-MON,CREW-DEL-FUTURE,Monday,00:00,00:00,0,False,FUTURE_PLACEHOLDER,Inactive future placeholder.
