receipt_id,po_id,receipt_date,received_quantity,accepted_quantity,rejected_quantity,delay_days,partial_delivery_flag,quality_issue_flag
REC-00137,PO-00137,2026-04-30,1000,955,45,0,0,0
REC-00138,PO-00138,2026-05-04,340,325,15,0,0,0
REC-00139,PO-00139,2026-05-09,780,745,35,0,0,0
REC-00140,PO-00140,2026-05-14,340,325,15,0,0,0
REC-00141,PO-00141,2026-05-20,720,688,32,1,1,0
REC-00142,PO-00142,2026-06-07,340,282,58,5,0,0
REC-00143,PO-00143,2026-06-11,720,598,122,6,1,1
REC-00144,PO-00144,2026-06-15,340,282,58,7,0,0
REC-00145,PO-00145,2026-06-15,562,466,96,4,1,1
REC-00146,PO-00146,2026-06-19,500,415,85,5,0,0
REC-00147,PO-00147,2026-06-23,490,407,83,6,1,1
REC-00148,PO-00148,2026-06-27,390,324,66,7,0,0
REC-00149,PO-00149,2026-03-08,22,20,2,1,1,0
REC-00150,PO-00150,2026-05-20,120,112,8,1,0,0
REC-00151,PO-00151,2026-06-03,90,84,6,1,0,1
