sku_id,product_name,category,recommended_location_id,recommended_storage_zone,abc_class,fsn_class,movement_class,distance_from_receiving_m,distance_to_shipping_m,distance_to_pick_face_m,one_way_operational_distance_m,total_travel_distance_m,travel_distance_basis,travel_threshold_basis,travel_time_min,travel_cost,movement_count,frequency_adjusted_travel_distance_m,frequency_adjusted_travel_cost,travel_warning_flags,travel_info_flags,travel_reason,visual_travel_risk_group,map_x,map_y,map_z
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,LOC-TC-003,TEMPERATURE_CONTROLLED,C,S,SLOW_MOVING,34.99,47.8,33.12,33.12,82.79,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.38,1.66,4.0,331.16,6.64,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,20.0,32.0,2.0
SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,B,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,B,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,B,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SKU-COMP-WHEEL-ROAD-700C,UNKNOWN,UNKNOWN,,SLOW_PICK,B,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NO_LOCATION,42.0,28.0,4.0
SKU-COMP-WHEEL-MT-29,UNKNOWN,UNKNOWN,,SLOW_PICK,B,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NO_LOCATION,42.0,28.0,4.0
SKU-COMP-FRAME-ROAD-001,UNKNOWN,UNKNOWN,,SLOW_PICK,B,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NO_LOCATION,42.0,28.0,4.0
SKU-COMP-FRAME-MT-001,UNKNOWN,UNKNOWN,,SLOW_PICK,B,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NO_LOCATION,42.0,28.0,4.0
SKU-COMP-TIRE-MT-29,UNKNOWN,UNKNOWN,LOC-PL-002,SLOW_PICK,B,N,NON_MOVING,26.08,36.4,23.85,23.85,62.48,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.04,1.25,0.0,62.48,1.25,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,24.0,16.0,2.0
SKU-COMP-TIRE-ROAD-700C,UNKNOWN,UNKNOWN,LOC-BK-001,SLOW_PICK,B,N,NON_MOVING,49.4,19.72,19.72,19.72,69.12,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.15,1.38,0.0,69.12,1.38,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,48.0,20.0,1.0
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,,SECURITY_CONTROLLED,C,S,SLOW_MOVING,32.56,24.52,24.52,24.52,57.08,LOCATION_DISTANCE_FIELDS,ONE_WAY,0.95,1.14,5.0,285.4,5.7,,,Travel distance and cost are within configured thresholds for this SKU.,NO_LOCATION,34.0,8.0,2.0
SP-LUBE-OIL-001,General Machine Lubricating Oil,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,C,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,C,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,C,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,C,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SP-BEARING-KIT-001,General Bearing Replacement Kit,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,C,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,C,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,Maintenance Spare Parts,LOC-SP-001,SLOW_PICK,C,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SKU-COMP-PEDAL-SET-001,UNKNOWN,UNKNOWN,LOC-SP-001,SLOW_PICK,B,N,NON_MOVING,47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,0.0,77.39,1.55,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,42.0,28.0,4.0
SKU-COMP-BOLT-KIT-001,UNKNOWN,UNKNOWN,LOC-SC-002,SECURITY_CONTROLLED,C,N,NON_MOVING,53.25,31.38,31.38,31.38,84.63,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.41,1.69,0.0,84.63,1.69,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,46.0,32.0,3.0
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,LOC-BK-001,BULK_STORAGE,C,N,NON_MOVING,49.4,19.72,19.72,19.72,69.12,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.15,1.38,3.0,207.36,4.14,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,48.0,20.0,1.0
SKU-FIL-009,Replacement Water Filter,Home,LOC-RC-001,SLOW_PICK,C,N,NON_MOVING,5.0,52.04,2.83,2.83,57.04,LOCATION_DISTANCE_FIELDS,ONE_WAY,0.95,1.14,2.0,114.08,2.28,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,6.0,5.0,1.0
