summary_type,group_name,sku_count,scenario_count,feasible_scenario_count,infeasible_scenario_count,human_review_scenario_count,average_selected_cost,total_selected_cost,total_baseline_cost,total_cost_saving_vs_baseline,average_cost_saving_pct,selected_requires_human_review_count,total_selected_operational_cost,total_baseline_operational_cost,total_operational_cost_saving_vs_baseline,total_selected_risk_penalty_cost,total_baseline_risk_penalty_cost,total_risk_penalty_avoidance_vs_baseline,total_selected_constraint_penalty_cost,total_baseline_constraint_penalty_cost,total_constraint_penalty_avoidance_vs_baseline,total_selected_penalty_adjusted_cost,total_baseline_penalty_adjusted_cost,total_penalty_adjusted_saving_vs_baseline,penalty_driven_saving_count,operational_saving_count,cost_increase_with_risk_reduction_count,total_hard_blocker_count,total_major_risk_count,total_review_required_count,total_soft_warning_count,selected_hard_blocker_count,selected_major_risk_count,selected_review_required_count,selected_soft_warning_count,average_constraint_penalty,average_review_penalty,average_soft_warning_penalty
BY_SELECTED_BUFFER_STRATEGY,CURRENT_BUFFER,14,294,294,0,267,8154.22,114159.15,250281.71,136122.56,0.4347,11,75759.15,197631.71,121872.56,8400.0,22650.0,14250.0,30000.0,30000.0,0.0,114159.15,250281.71,136122.56,0,3,0,0,174,379,620,0,10,10,34,1775.51,644.56,210.88
BY_SELECTED_BUFFER_STRATEGY,DECREASE_BUFFER,5,66,66,0,58,3367.5,16837.5,21706.78,4869.28,0.1985,4,13737.5,18606.78,4869.28,3100.0,3100.0,0.0,0.0,0.0,0.0,16837.5,21706.78,4869.28,0,1,0,0,0,78,129,0,0,4,11,0.0,590.91,195.45
BY_SELECTED_BUFFER_STRATEGY,INCREASE_BUFFER,13,270,270,0,248,2815.14,36596.79,94582.71,57985.92,0.6821,2,30346.79,33982.71,3635.92,6250.0,21600.0,15350.0,0.0,39000.0,39000.0,36596.79,94582.71,57985.92,13,0,0,0,192,179,436,0,0,3,25,2133.33,331.48,161.48
BY_SELECTED_SUPPLIER_STRATEGY,CURRENT_SUPPLIER,31,613,613,0,556,4986.06,154567.97,348146.86,193578.89,0.5049,16,108011.72,236246.86,128235.14,16556.25,45900.0,29343.75,30000.0,66000.0,36000.0,154567.97,348146.86,193578.89,12,4,0,0,355,607,1159,0,10,15,69,1737.36,495.11,189.07
BY_SELECTED_SUPPLIER_STRATEGY,FAST_RELIABLE_SUPPLIER,1,17,17,0,17,13025.47,13025.47,18424.34,5398.87,0.293,1,11831.72,13974.34,2142.62,1193.75,1450.0,256.25,0.0,3000.0,3000.0,13025.47,18424.34,5398.87,1,0,0,0,11,29,26,0,0,2,1,1941.18,852.94,152.94
BY_SELECTED_DELIVERY_STRATEGY,DELAY_NONURGENT_ORDER,11,253,253,0,251,9408.97,103498.66,237073.03,133574.37,0.4859,11,65698.66,185023.03,119324.37,7800.0,22050.0,14250.0,30000.0,30000.0,0.0,103498.66,237073.03,133574.37,0,0,0,0,174,363,549,0,10,10,28,2063.24,717.39,217.0
BY_SELECTED_DELIVERY_STRATEGY,EXPEDITE_DELIVERY,1,10,10,0,6,7029.27,7029.27,7842.96,813.69,0.1037,0,6829.27,7642.96,813.69,200.0,200.0,0.0,0.0,0.0,0.0,7029.27,7842.96,813.69,0,1,0,0,0,6,15,0,0,0,2,0.0,300.0,150.0
BY_SELECTED_DELIVERY_STRATEGY,NORMAL_DELIVERY,7,97,97,0,68,2924.1,20468.72,27072.5,6603.78,0.2328,4,16968.72,23572.5,6603.78,3500.0,3500.0,0.0,0.0,0.0,0.0,20468.72,27072.5,6603.78,0,3,0,0,0,88,185,0,0,4,15,0.0,453.61,190.72
BY_SELECTED_DELIVERY_STRATEGY,SPLIT_DELIVERY,13,270,270,0,248,2815.14,36596.79,94582.71,57985.92,0.6821,2,30346.79,33982.71,3635.92,6250.0,21600.0,15350.0,0.0,39000.0,39000.0,36596.79,94582.71,57985.92,13,0,0,0,192,179,436,0,0,3,25,2133.33,331.48,161.48
BY_SELECTED_ORDER_CAP_STRATEGY,CAP_BY_EXPIRY_OR_MOVEMENT,1,10,10,0,5,2127.29,2127.29,3230.51,1103.22,0.3415,0,1927.29,3030.51,1103.22,200.0,200.0,0.0,0.0,0.0,0.0,2127.29,3230.51,1103.22,0,1,0,0,0,5,17,0,0,0,2,0.0,250.0,170.0
BY_SELECTED_ORDER_CAP_STRATEGY,CURRENT_ORDER_CAP,30,599,599,0,563,5465.41,163962.22,361205.48,197243.26,0.5103,17,116612.22,245255.48,128643.26,17350.0,46950.0,29600.0,30000.0,69000.0,39000.0,163962.22,361205.48,197243.26,13,2,0,0,366,626,1129,0,10,17,66,1833.06,522.54,188.48
BY_SELECTED_ORDER_CAP_STRATEGY,TIGHTEN_ORDER_CAP,1,21,21,0,5,1503.93,1503.93,2135.21,631.28,0.2957,0,1303.93,1935.21,631.28,200.0,200.0,0.0,0.0,0.0,0.0,1503.93,2135.21,631.28,0,1,0,0,0,5,39,0,0,0,2,0.0,119.05,185.71
BY_SELECTED_EXPIRY_STRATEGY,LIQUIDATE_DEAD_STOCK,5,66,66,0,58,3367.5,16837.5,21706.78,4869.28,0.1985,4,13737.5,18606.78,4869.28,3100.0,3100.0,0.0,0.0,0.0,0.0,16837.5,21706.78,4869.28,0,1,0,0,0,78,129,0,0,4,11,0.0,590.91,195.45
BY_SELECTED_EXPIRY_STRATEGY,NO_EXPIRY_ACTION,26,543,543,0,510,5740.46,149252.01,342729.21,193477.2,0.5638,13,104802.01,229679.21,124877.2,14450.0,44050.0,29600.0,30000.0,69000.0,39000.0,149252.01,342729.21,193477.2,13,2,0,0,366,553,1017,0,10,13,57,2022.1,509.21,187.29
BY_SELECTED_EXPIRY_STRATEGY,RETURN_TO_SUPPLIER_IF_ALLOWED,1,21,21,0,5,1503.93,1503.93,2135.21,631.28,0.2957,0,1303.93,1935.21,631.28,200.0,200.0,0.0,0.0,0.0,0.0,1503.93,2135.21,631.28,0,1,0,0,0,5,39,0,0,0,2,0.0,119.05,185.71
BY_SELECTED_WAREHOUSE_STRATEGY,CURRENT_WAREHOUSE_PLAN,32,630,630,0,573,5237.3,167593.44,366571.2,198977.76,0.4983,17,119843.44,250221.2,130377.76,17750.0,47350.0,29600.0,30000.0,69000.0,39000.0,167593.44,366571.2,198977.76,13,4,0,0,366,636,1185,0,10,17,70,1742.86,504.76,188.1
BY_FEASIBILITY_STATUS,FEASIBLE,15,291,291,0,236,2117.9,31768.51,84437.06,52668.55,0.6131,0,26606.01,31837.06,5231.05,5162.5,19600.0,14437.5,0.0,33000.0,33000.0,31768.51,84437.06,52668.55,11,4,0,0,170,143,492,0,0,0,31,1752.58,245.7,169.07
BY_FEASIBILITY_STATUS,FEASIBLE_WITH_REVIEW,17,339,339,0,337,7989.7,135824.93,282134.14,146309.21,0.397,17,93237.43,218384.14,125146.71,12587.5,27750.0,15162.5,30000.0,36000.0,6000.0,135824.93,282134.14,146309.21,2,0,0,0,196,493,693,0,10,17,39,1734.51,727.14,204.42
BY_REQUIRES_HUMAN_REVIEW,False,15,291,291,0,236,2117.9,31768.51,84437.06,52668.55,0.6131,0,26606.01,31837.06,5231.05,5162.5,19600.0,14437.5,0.0,33000.0,33000.0,31768.51,84437.06,52668.55,11,4,0,0,170,143,492,0,0,0,31,1752.58,245.7,169.07
BY_REQUIRES_HUMAN_REVIEW,True,17,339,339,0,337,7989.7,135824.93,282134.14,146309.21,0.397,17,93237.43,218384.14,125146.71,12587.5,27750.0,15162.5,30000.0,36000.0,6000.0,135824.93,282134.14,146309.21,2,0,0,0,196,493,693,0,10,17,39,1734.51,727.14,204.42
BY_INVENTORY_STATUS,CRITICAL_LOW_STOCK,13,279,279,0,257,3551.38,46167.94,170346.69,124178.75,0.7424,2,37305.44,112546.69,75241.25,5862.5,21800.0,15937.5,3000.0,36000.0,33000.0,46167.94,170346.69,124178.75,11,0,0,0,188,185,497,0,1,2,28,2021.51,331.54,178.14
BY_INVENTORY_STATUS,OVERSTOCK,14,275,275,0,251,6200.8,86811.21,142019.89,55208.68,0.3284,12,53511.21,97469.89,43958.68,9300.0,20550.0,11250.0,24000.0,24000.0,0.0,86811.21,142019.89,55208.68,0,2,0,0,140,371,568,0,8,12,33,1527.27,674.55,206.55
BY_INVENTORY_STATUS,REORDER_NOW,1,22,22,0,20,5755.26,5755.26,14184.63,8429.37,0.5943,1,2555.26,9484.63,6929.37,200.0,1700.0,1500.0,3000.0,3000.0,0.0,5755.26,14184.63,8429.37,0,0,0,0,16,11,36,0,1,0,2,2181.82,250.0,163.64
BY_INVENTORY_STATUS,STOCKOUT,2,34,34,0,34,9851.24,19702.47,28946.52,9244.05,0.3292,2,17714.97,20046.52,2331.55,1987.5,2900.0,912.5,0.0,6000.0,6000.0,19702.47,28946.52,9244.05,2,0,0,0,22,58,52,0,0,3,3,1941.18,852.94,152.94
BY_INVENTORY_STATUS,UNKNOWN_STATUS,1,10,10,0,5,2127.29,2127.29,3230.51,1103.22,0.3415,0,1927.29,3030.51,1103.22,200.0,200.0,0.0,0.0,0.0,0.0,2127.29,3230.51,1103.22,0,1,0,0,0,5,17,0,0,0,2,0.0,250.0,170.0
BY_INVENTORY_STATUS,ZERO_STOCK,1,10,10,0,6,7029.27,7029.27,7842.96,813.69,0.1037,0,6829.27,7642.96,813.69,200.0,200.0,0.0,0.0,0.0,0.0,7029.27,7842.96,813.69,0,1,0,0,0,6,15,0,0,0,2,0.0,300.0,150.0
BY_INVENTORY_MODEL_TYPE,BASE_STOCK,1,16,16,0,14,1863.53,1863.53,6257.65,4394.12,0.7022,0,1476.03,1557.65,81.62,387.5,1700.0,1312.5,0.0,3000.0,3000.0,1863.53,6257.65,4394.12,1,0,0,0,10,11,24,0,0,0,2,1875.0,343.75,150.0
BY_INVENTORY_MODEL_TYPE,CONTINUOUS_REVIEW_sQ,24,517,517,0,491,6052.55,145261.19,333241.05,187979.86,0.5673,13,101398.69,225091.05,123692.36,13862.5,42150.0,28287.5,30000.0,66000.0,36000.0,145261.19,333241.05,187979.86,12,1,0,0,356,537,976,0,10,13,53,2065.76,519.34,188.78
BY_INVENTORY_MODEL_TYPE,EVENT_BASED_REPLENISHMENT,2,27,27,0,19,5940.12,11880.24,15695.93,3815.69,0.2439,1,10880.24,14695.93,3815.69,1000.0,1000.0,0.0,0.0,0.0,0.0,11880.24,15695.93,3815.69,0,1,0,0,0,24,60,0,0,1,5,0.0,444.44,222.22
BY_INVENTORY_MODEL_TYPE,NEWSVENDOR_CANDIDATE,2,31,31,0,10,1815.61,3631.22,5365.72,1734.5,0.3186,0,3231.22,4965.72,1734.5,400.0,400.0,0.0,0.0,0.0,0.0,3631.22,5365.72,1734.5,0,2,0,0,0,10,56,0,0,0,4,0.0,161.29,180.65
BY_INVENTORY_MODEL_TYPE,ONE_TO_ONE_REPLACEMENT,3,39,39,0,39,1652.42,4957.26,6010.85,1053.59,0.1683,3,2857.26,3910.85,1053.59,2100.0,2100.0,0.0,0.0,0.0,0.0,4957.26,6010.85,1053.59,0,0,0,0,0,54,69,0,0,3,6,0.0,692.31,176.92
BY_CATEGORY,Accessories,1,16,16,0,14,1863.53,1863.53,6257.65,4394.12,0.7022,0,1476.03,1557.65,81.62,387.5,1700.0,1312.5,0.0,3000.0,3000.0,1863.53,6257.65,4394.12,1,0,0,0,10,11,24,0,0,0,2,1875.0,343.75,150.0
BY_CATEGORY,Beverages,1,10,10,0,6,7029.27,7029.27,7842.96,813.69,0.1037,0,6829.27,7642.96,813.69,200.0,200.0,0.0,0.0,0.0,0.0,7029.27,7842.96,813.69,0,1,0,0,0,6,15,0,0,0,2,0.0,300.0,150.0
BY_CATEGORY,Bicycles,2,43,43,0,43,14636.81,29273.62,104710.5,75436.88,0.7208,2,24673.62,98610.5,73936.88,1600.0,3100.0,1500.0,3000.0,3000.0,0.0,29273.62,104710.5,75436.88,0,0,0,0,18,64,113,0,1,2,6,1255.81,744.19,262.79
BY_CATEGORY,Confectionery,1,10,10,0,5,2127.29,2127.29,3230.51,1103.22,0.3415,0,1927.29,3030.51,1103.22,200.0,200.0,0.0,0.0,0.0,0.0,2127.29,3230.51,1103.22,0,1,0,0,0,5,17,0,0,0,2,0.0,250.0,170.0
BY_CATEGORY,Electronics,1,17,17,0,17,6677.0,6677.0,10522.18,3845.18,0.3654,1,5883.25,6072.18,188.93,793.75,1450.0,656.25,0.0,3000.0,3000.0,6677.0,10522.18,3845.18,1,0,0,0,11,29,26,0,0,1,2,1941.18,852.94,152.94
BY_CATEGORY,Grocery,2,39,39,0,37,9390.36,18780.73,32608.97,13828.24,0.4436,2,14386.98,23458.97,9071.99,1393.75,3150.0,1756.25,3000.0,6000.0,3000.0,18780.73,32608.97,13828.24,1,0,0,0,27,40,62,0,1,2,3,2076.92,512.82,158.97
BY_CATEGORY,Home,1,13,13,0,13,1175.0,1175.0,1347.21,172.21,0.1278,1,475.0,647.21,172.21,700.0,700.0,0.0,0.0,0.0,0.0,1175.0,1347.21,172.21,0,0,0,0,0,18,23,0,0,1,2,0.0,692.31,176.92
BY_CATEGORY,Maintenance Spare Parts,10,220,220,0,200,1503.08,15030.79,59378.54,44347.75,0.7507,0,11155.79,12378.54,1222.75,3875.0,17000.0,13125.0,0.0,30000.0,30000.0,15030.79,59378.54,44347.75,10,0,0,0,160,110,360,0,0,0,20,2181.82,250.0,163.64
BY_CATEGORY,Outdoor,1,13,13,0,13,7666.54,7666.54,10103.74,2437.2,0.2412,1,6966.54,9403.74,2437.2,700.0,700.0,0.0,0.0,0.0,0.0,7666.54,10103.74,2437.2,0,0,0,0,0,18,23,0,0,1,2,0.0,692.31,176.92
BY_CATEGORY,Personal Care,1,21,21,0,5,1503.93,1503.93,2135.21,631.28,0.2957,0,1303.93,1935.21,631.28,200.0,200.0,0.0,0.0,0.0,0.0,1503.93,2135.21,631.28,0,1,0,0,0,5,39,0,0,0,2,0.0,119.05,185.71
BY_CATEGORY,Stationery,1,14,14,0,6,4213.7,4213.7,5592.19,1378.49,0.2465,0,3913.7,5292.19,1378.49,300.0,300.0,0.0,0.0,0.0,0.0,4213.7,5592.19,1378.49,0,1,0,0,0,6,37,0,0,0,3,0.0,214.29,264.29
BY_CATEGORY,UNKNOWN,10,214,214,0,214,7225.2,72252.04,122841.54,50589.5,0.3686,10,40852.04,80191.54,39339.5,7400.0,18650.0,11250.0,24000.0,24000.0,0.0,72252.04,122841.54,50589.5,0,0,0,0,140,324,446,0,8,10,24,1962.62,757.01,208.41
BY_SAVING_INTERPRETATION_TYPE,OPERATIONAL_SAVING,4,55,55,0,22,3718.55,14874.19,18800.87,3926.68,0.2469,0,13974.19,17900.87,3926.68,900.0,900.0,0.0,0.0,0.0,0.0,14874.19,18800.87,3926.68,0,4,0,0,0,22,108,0,0,0,9,0.0,200.0,196.36
BY_SAVING_INTERPRETATION_TYPE,PENALTY_AVOIDANCE,11,236,236,0,214,1535.85,16894.32,65636.19,48741.87,0.7463,0,12631.82,13936.19,1304.37,4262.5,18700.0,14437.5,0.0,33000.0,33000.0,16894.32,65636.19,48741.87,11,0,0,0,170,121,384,0,0,0,22,2161.02,256.36,162.71
BY_SAVING_INTERPRETATION_TYPE,REVIEW_REQUIRED,17,339,339,0,337,7989.7,135824.93,282134.14,146309.21,0.397,17,93237.43,218384.14,125146.71,12587.5,27750.0,15162.5,30000.0,36000.0,6000.0,135824.93,282134.14,146309.21,2,0,0,0,196,493,693,0,10,17,39,1734.51,727.14,204.42
BY_PENALTY_DRIVEN_SAVING_FLAG,False,19,360,360,0,325,6894.56,130996.65,271988.49,140991.84,0.3726,15,89496.65,216238.49,126741.84,11500.0,25750.0,14250.0,30000.0,30000.0,0.0,130996.65,271988.49,140991.84,0,4,0,0,174,457,749,0,10,14,45,1450.0,634.72,208.06
BY_PENALTY_DRIVEN_SAVING_FLAG,True,13,270,270,0,248,2815.14,36596.79,94582.71,57985.92,0.6821,2,30346.79,33982.71,3635.92,6250.0,21600.0,15350.0,0.0,39000.0,39000.0,36596.79,94582.71,57985.92,13,0,0,0,192,179,436,0,0,3,25,2133.33,331.48,161.48
BY_SELECTION_COST_BASIS,PENALTY_ADJUSTED_TOTAL_COST,32,630,630,0,573,5237.3,167593.44,366571.2,198977.76,0.4983,17,119843.44,250221.2,130377.76,17750.0,47350.0,29600.0,30000.0,69000.0,39000.0,167593.44,366571.2,198977.76,13,4,0,0,366,636,1185,0,10,17,70,1742.86,504.76,188.1
BY_SELECTED_FOR_LOWEST_OPERATIONAL_COST,False,14,280,280,0,254,3116.15,43626.06,102425.67,58799.61,0.6408,2,37176.06,41625.67,4449.61,6450.0,21800.0,15350.0,0.0,39000.0,39000.0,43626.06,102425.67,58799.61,13,1,0,0,192,185,451,0,0,3,27,2057.14,330.36,161.07
BY_SELECTED_FOR_LOWEST_OPERATIONAL_COST,True,18,350,350,0,319,6887.08,123967.38,264145.53,140178.15,0.3875,15,82667.38,208595.53,125928.15,11300.0,25550.0,14250.0,30000.0,30000.0,0.0,123967.38,264145.53,140178.15,0,3,0,0,174,451,734,0,10,14,43,1491.43,644.29,209.71
BY_SELECTED_FOR_LOWEST_PENALTY_ADJUSTED_COST,True,32,630,630,0,573,5237.3,167593.44,366571.2,198977.76,0.4983,17,119843.44,250221.2,130377.76,17750.0,47350.0,29600.0,30000.0,69000.0,39000.0,167593.44,366571.2,198977.76,13,4,0,0,366,636,1185,0,10,17,70,1742.86,504.76,188.1
BY_SELECTED_FEASIBILITY_SEVERITY,MAJOR_RISK,10,234,234,0,232,9014.18,90141.78,188033.96,97892.18,0.4617,10,53141.78,136783.96,83642.18,7000.0,21250.0,14250.0,30000.0,30000.0,0.0,90141.78,188033.96,97892.18,0,0,0,0,174,336,499,0,10,9,25,2230.77,717.95,213.25
BY_SELECTED_FEASIBILITY_SEVERITY,REVIEW_REQUIRED,7,105,105,0,105,6526.16,45683.15,94100.18,48417.03,0.3046,7,40095.65,81600.18,41504.53,5587.5,6500.0,912.5,0.0,6000.0,6000.0,45683.15,94100.18,48417.03,2,0,0,0,22,157,194,0,0,8,14,628.57,747.62,184.76
BY_SELECTED_FEASIBILITY_SEVERITY,SOFT_WARNING,15,291,291,0,236,2117.9,31768.51,84437.06,52668.55,0.6131,0,26606.01,31837.06,5231.05,5162.5,19600.0,14437.5,0.0,33000.0,33000.0,31768.51,84437.06,52668.55,11,4,0,0,170,143,492,0,0,0,31,1752.58,245.7,169.07
BY_SELECTED_HARD_BLOCKER_COUNT,0,32,630,630,0,573,5237.3,167593.44,366571.2,198977.76,0.4983,17,119843.44,250221.2,130377.76,17750.0,47350.0,29600.0,30000.0,69000.0,39000.0,167593.44,366571.2,198977.76,13,4,0,0,366,636,1185,0,10,17,70,1742.86,504.76,188.1
BY_SELECTED_MAJOR_RISK_COUNT,0,22,396,396,0,341,3520.53,77451.66,178537.24,101085.58,0.515,7,66701.66,113437.24,46735.58,10750.0,26100.0,15350.0,0.0,39000.0,39000.0,77451.66,178537.24,101085.58,13,4,0,0,192,300,686,0,0,8,45,1454.55,378.79,173.23
BY_SELECTED_MAJOR_RISK_COUNT,1,10,234,234,0,232,9014.18,90141.78,188033.96,97892.18,0.4617,10,53141.78,136783.96,83642.18,7000.0,21250.0,14250.0,30000.0,30000.0,0.0,90141.78,188033.96,97892.18,0,0,0,0,174,336,499,0,10,9,25,2230.77,717.95,213.25
BY_SELECTED_REVIEW_REQUIRED_COUNT,0,16,313,313,0,256,2345.24,37523.77,98621.69,61097.92,0.6119,1,29161.27,41321.69,12160.42,5362.5,21300.0,15937.5,3000.0,36000.0,33000.0,37523.77,98621.69,61097.92,11,4,0,0,186,154,528,0,1,0,33,1782.75,246.01,168.69
BY_SELECTED_REVIEW_REQUIRED_COUNT,1,15,300,300,0,300,7802.95,117044.2,249525.17,132480.97,0.3908,15,78850.45,194925.17,116074.72,11193.75,24600.0,13406.25,27000.0,30000.0,3000.0,117044.2,249525.17,132480.97,1,0,0,0,169,453,631,0,9,15,36,1690.0,755.0,210.33
BY_SELECTED_REVIEW_REQUIRED_COUNT,2,1,17,17,0,17,13025.47,13025.47,18424.34,5398.87,0.293,1,11831.72,13974.34,2142.62,1193.75,1450.0,256.25,0.0,3000.0,3000.0,13025.47,18424.34,5398.87,1,0,0,0,11,29,26,0,0,2,1,1941.18,852.94,152.94
BY_SELECTED_SOFT_WARNING_COUNT,1,1,17,17,0,17,13025.47,13025.47,18424.34,5398.87,0.293,1,11831.72,13974.34,2142.62,1193.75,1450.0,256.25,0.0,3000.0,3000.0,13025.47,18424.34,5398.87,1,0,0,0,11,29,26,0,0,2,1,1941.18,852.94,152.94
BY_SELECTED_SOFT_WARNING_COUNT,2,24,460,460,0,411,3444.02,82656.41,168228.37,85571.96,0.5078,10,56200.16,83928.37,27728.21,11456.25,33300.0,21843.75,15000.0,51000.0,36000.0,82656.41,168228.37,85571.96,12,3,0,0,265,389,761,0,5,9,48,1728.26,422.83,165.43
BY_SELECTED_SOFT_WARNING_COUNT,3,7,153,153,0,145,10273.08,71911.56,179918.49,108006.93,0.4953,6,51811.56,152318.49,100506.93,5100.0,12600.0,7500.0,15000.0,15000.0,0.0,71911.56,179918.49,108006.93,0,1,0,0,90,218,398,0,5,6,21,1764.71,712.42,260.13
BY_COST_SAVING_POSITIVE_NEGATIVE,POSITIVE_SAVING,32,630,630,0,573,5237.3,167593.44,366571.2,198977.76,0.4983,17,119843.44,250221.2,130377.76,17750.0,47350.0,29600.0,30000.0,69000.0,39000.0,167593.44,366571.2,198977.76,13,4,0,0,366,636,1185,0,10,17,70,1742.86,504.76,188.1
BY_COST_SAVING_POSITIVE_NEGATIVE,NO_OR_NEGATIVE_SAVING,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
BY_SCENARIO_FEASIBILITY_SEVERITY,MAJOR_RISK,23,366,366,0,366,5510.37,126738.57,282616.67,155878.1,0.5863,12,83488.57,170766.67,87278.1,13250.0,42850.0,29600.0,30000.0,69000.0,39000.0,126738.57,282616.67,155878.1,13,0,0,0,366,334,698,0,10,12,50,3000.0,456.28,190.71
BY_SCENARIO_FEASIBILITY_SEVERITY,REVIEW_REQUIRED,32,207,207,0,207,5237.3,167593.44,366571.2,198977.76,0.4983,17,119843.44,250221.2,130377.76,17750.0,47350.0,29600.0,30000.0,69000.0,39000.0,167593.44,366571.2,198977.76,13,4,0,0,0,302,365,0,10,17,70,0.0,729.47,176.33
BY_SCENARIO_FEASIBILITY_SEVERITY,SOFT_WARNING,16,57,57,0,0,2345.24,37523.77,98621.69,61097.92,0.6119,1,29161.27,41321.69,12160.42,5362.5,21300.0,15937.5,3000.0,36000.0,33000.0,37523.77,98621.69,61097.92,11,4,0,0,0,0,122,0,1,0,33,0.0,0.0,214.04
BY_SCENARIO_HARD_BLOCKER_COUNT,0,32,630,630,0,573,5237.3,167593.44,366571.2,198977.76,0.4983,17,119843.44,250221.2,130377.76,17750.0,47350.0,29600.0,30000.0,69000.0,39000.0,167593.44,366571.2,198977.76,13,4,0,0,366,636,1185,0,10,17,70,1742.86,504.76,188.1
BY_SCENARIO_MAJOR_RISK_COUNT,0,32,264,264,0,207,5237.3,167593.44,366571.2,198977.76,0.4983,17,119843.44,250221.2,130377.76,17750.0,47350.0,29600.0,30000.0,69000.0,39000.0,167593.44,366571.2,198977.76,13,4,0,0,0,302,487,0,10,17,70,0.0,571.97,184.47
