sku_id,product_name,category,outbound_to_current_inventory_ratio_90d,outbound_to_current_inventory_ratio_90d_method,outbound_to_current_inventory_ratio_90d_data_quality,inventory_turnover_units_90d,inventory_turnover_method,inventory_turnover_data_quality,days_inventory_on_hand,days_inventory_on_hand_status,unit_fill_rate_proxy,unit_fill_rate_method,unit_fill_rate_data_quality,stockout_rate,stockout_rate_method,stockout_rate_data_quality,max_stock_threshold_units,excess_inventory_units,excess_inventory_rate,excess_inventory_data_quality,dead_stock_rate,expiry_exposure_rate_30d,inventory_reconciliation_accuracy_rate,fefo_compliance_rate,fefo_compliance_method,fefo_compliance_data_quality,inventory_kpi_warning_codes
SKU-BIKE-ROAD-001,Road Bike,Bicycles,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,1.1303586062678386,CRITICAL_LOW,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,248.0,0.0,0.0,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-BIKE-MT-001,Mountain Bike,Bicycles,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,1.1822158362358248,CRITICAL_LOW,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,202.0,0.0,0.0,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-COMP-FRAME-ROAD-001,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,89.0,21.0,0.19090909090909092,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
SKU-COMP-FRAME-MT-001,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,92.0,0.0,0.0,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
SKU-COMP-WHEEL-ROAD-700C,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,99.0,141.0,0.5875,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
SKU-COMP-WHEEL-MT-29,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,102.0,90.0,0.46875,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
SKU-COMP-TIRE-ROAD-700C,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,139.0,176.0,0.5587301587301587,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
SKU-COMP-TIRE-MT-29,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,125.0,153.0,0.5503597122302158,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
SKU-COMP-BRAKE-FRONT-001,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,103.0,45.0,0.30405405405405406,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
SKU-COMP-BRAKE-REAR-001,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,103.0,40.0,0.27972027972027974,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
SKU-COMP-PEDAL-SET-001,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,5.0,161.0,0.9698795180722891,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
SKU-COMP-BOLT-KIT-001,UNKNOWN,UNKNOWN,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,,NO_DEMAND,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,4.0,456.0,0.991304347826087,AVAILABLE_POLICY_THRESHOLD,0.0,,0.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE;DAYS_INVENTORY_ON_HAND_UNAVAILABLE
