movement_id,sku_id,batch_id,warehouse_id,location_id,movement_date,movement_type,quantity,source_location_id,destination_location_id,reason_code,related_po_id,related_order_id,unknown_movement_type_flag
MOV-00025,SKU-UMR-007,BATCH-007-01,WH-001,LOC-SP-001,2026-05-01,PUTAWAY,16,LOC-SP-001,LOC-SP-001,STANDARD_PUTAWAY,PO-1025,nan,False
MOV-00026,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-06-01,RECEIPT,12,nan,LOC-SC-001,PO_RECEIPT,PO-1026,nan,False
MOV-00027,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-05-30,PUTAWAY,16,LOC-SC-001,LOC-SC-001,STANDARD_PUTAWAY,PO-1027,nan,False
MOV-00028,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-05-24,PICK,-20,LOC-SC-001,nan,CUSTOMER_PICK,nan,ORD-2028,False
MOV-00029,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-05-16,SHIP,-24,LOC-SC-001,nan,CUSTOMER_SHIPMENT,nan,ORD-2029,False
MOV-00030,SKU-BAT-008,BATCH-008-01,WH-001,LOC-SC-001,2026-05-08,DEMAND,-28,LOC-SC-001,nan,DEMAND_CONSUMPTION,nan,ORD-2030,False
MOV-00031,SKU-FIL-009,BATCH-009-01,WH-001,LOC-EP-001,2026-03-21,RECEIPT,12,nan,LOC-EP-001,PO_RECEIPT,PO-1031,nan,False
MOV-00032,SKU-FIL-009,BATCH-009-01,WH-001,LOC-EP-001,2026-01-15,PUTAWAY,16,LOC-EP-001,LOC-EP-001,STANDARD_PUTAWAY,PO-1032,nan,False
MOV-00033,SKU-GFT-010,BATCH-010-01,WH-001,LOC-SC-002,2026-05-25,RECEIPT,12,nan,LOC-SC-002,PO_RECEIPT,PO-1033,nan,False
MOV-00034,SKU-GFT-010,BATCH-010-01,WH-001,LOC-SC-002,2026-05-15,PUTAWAY,16,LOC-SC-002,LOC-SC-002,STANDARD_PUTAWAY,PO-1034,nan,False
MOV-00035,SKU-GFT-010,BATCH-010-01,WH-001,LOC-SC-002,2026-05-03,PICK,-20,LOC-SC-002,nan,CUSTOMER_PICK,nan,ORD-2035,False
MOV-00036,SKU-GFT-010,BATCH-010-01,WH-001,LOC-SC-002,2026-04-10,SHIP,-24,LOC-SC-002,nan,CUSTOMER_SHIPMENT,nan,ORD-2036,False
MOV-00037,SKU-GFT-010,BATCH-010-02,WH-001,LOC-SC-002,2026-05-12,CUSTOMER_RETURN,9,LOC-SC-002,LOC-RT-001,CUSTOMER_RETURN,nan,nan,False
MOV-00038,SKU-CHC-005,BATCH-005-01,WH-001,LOC-TC-003,2026-05-11,SUPPLIER_RETURN,-6,LOC-TC-003,LOC-QA-001,SUPPLIER_RETURN,nan,nan,False
MOV-00039,SKU-SUP-004,BATCH-004-04,WH-001,LOC-TC-002,2026-05-10,SCRAP,-12,LOC-TC-002,LOC-QA-001,DAMAGED_STOCK,nan,nan,False
MOV-00040,SKU-SUN-003,BATCH-003-03,WH-001,LOC-TC-001,2026-05-29,EXPIRED,-5,LOC-TC-001,LOC-QA-001,EXPIRED_STOCK,nan,nan,False
